gas algorithm Recent, algorithm Recent theoretical, fluid dynamic problem, recent theoretical result, solve fluid dynamic, quantum lattice gas, lattice gas algorithm, Recent theoretical, theoretical result suggest, quantum information processor, algorithm Recent, information processor communicate, dynamic problem, lattice gas, communicate via classical
alloy actuator describe, shape memory alloy, describe the development, embed shape memory, memory alloy actuator, actuator describe, active robot hand, active robot finger, shape memory, memory alloy, robot hand, active robot, fine manipulation, wire actuator embed, smooth and lifelike
future direction interest, future direction, trace back, Flow measurement, early study, direction interest, measurement, Egyptians, roman, Flow, Chinese, back to early, early time, flow of liquid, Interest
early student year, compute shrink dramatically, woman in compute, pipeline shrinkage problem, National Science Foundation, woman, student year, work year, shrinkage problem, well - know and document, document phenomenon, man involve, shrink dramatically, dramatically from early, early student
differential algebraic equation, partial differential algebraic, include nonlinear term, quasi - linear type, convection type, numerical solution, algebraic equation, index be consider, class of partial, partial differential, differential algebraic, include nonlinear, nonlinear term, possibility to determine, determine a time
ever - more important area, wizard idea, work for broker, technology be set, ever - more important, important area, area of work, Internet in finance, Lawrie Holmes, Internet, idea, finance, broker, wizard, technology
private pipe, pipe for electronic, United States military, electronic medium, Net, United States, WAM, intelligent workflow, version of FedEx, workflow, Uncle Sam, digital version, offer storage, storage and intelligent, state military
Internet and Web, internet - base intelligent design, internet - base intelligent, rolling bearing base, roll element bearing, intelligent agile design, intelligent design support, web - base design support, roll element, artificial intelligence, agile design system, web technology, intelligent agile, design support system, paper present
voltage collapse analysis, critical line identification, voltage collapse, collapse analysis, identification on voltage, voltage collapse prevention, line identification, voltage, collapse, southeastern brazilian system, critical line, identification, system critical, paper deal, analysis
Quasi stage order, stage order condition, stage order, order condition, stage order great, Quasi stage, design a runge - kutta, order, sdirk method, simplify assumption, assumption that reduce, reduce the number, fulfil when design, introduce quasi stage, stage
artificial neural network, hierarchical neuro - fuzzy quadtree, model hybrid neuro - fuzzy, hybrid neuro - fuzzy model, quadtree model hybrid, neuro - fuzzy quadtree model, hybrid neuro - fuzzy system, hybrid neuro - fuzzy, name hierarchical neuro - fuzzy, neuro - fuzzy quadtree, hierarchical neuro - fuzzy, past few year, attractive combination, capacity of artificial, artificial neural
zero - inflate poisson regression, zero - inflate poisson, zero - inflate poisson model, Poisson regression, Poisson regression model, standard Poisson regression, situation count datum, Poisson, score test, count datum, test, poisson model, standard Poisson, large proportion, van den Broek
complex challenge, application server, application foundation, change role, server mean choose, Application, server, role of application, foundation, challenge, change, role, choose, platform, complex
collaborative work support, work support system, perspective Collaborative work, collaborative work process, configuration perspective Collaborative, compromise be require, process usually raise, raise a lot, lot of intricate, intricate debate, debate and negotiation, achieve consensus, consensus and compromise, collaborative work, collaborative work environment
MPEG stream, quantization parameter, reduce by optimally, optimally select, time the quantization, parameter, select the quantization, mpeg transcode, requantization parameter large, transcode, MPEG, stream, requantization parameter, requantization, optimization method
composite adaptive rectangular, adaptive rectangular structure, Heaviside function, composite adaptive, bond piezoelectric actuator, adaptive rectangular, Dirac distribution, adopt structure model, rectangular structure, actuator and sensor, Heaviside, analytical model, mathematical model, bond piezoelectric, piezoelectric actuator
Active vibration control, Active vibration, piezolaminate smart beam, actuator layer bond, distribute piezoelectric sensor, vibration control, piezolaminate smart, paper deal, structure with distribute, bond on top, top and bottom, bottom surface, sensor and actuator, piezoelectric sensor, actuator layer
wavefront propagation principle, propagation algorithm present, wavefront propagation algorithm, quantitative coronary artery, wavefront propagation, x - ray angiogram, coronary artery analysis, propagation principle, algorithm present, develop in order, quantitative coronary, coronary artery, reduce the variability, propagation algorithm, wavepath algorithm improve
Optimal bandwidth utilization, set of communication, share an edge, edge receive, Optimal bandwidth, converter, wavelength converter, all - optical ring, wavelength, communication path, path share, all - optical ring host, all - optical, node, optical bandwidth efficiently
Friedberg, n - computably enumerable set, friedberg numbering, family, family of n - computably, set, n - computably enumerable, establish a number, number, family, infinite family, exist, Friedberg famous, Friedberg famous theorem, numbering
displacement ventilation system, volumetric air supply, air supply rate, ventilation system, raise the volumetric, displacement ventilation, Michael Swainson explore, volumetric air, air supply, supply rate, increase the cooling, cool capacity, capacity of displacement, system, Butler and Michael
recursively saturate system, order admissible set, linear order admissible, order admissible, saturate system, form HYP, admissible set, HYP, recursively saturate, form Sigma, admissible family, Sigma, admissible, linear order, set in hyp
square lattice architecture, parallel computer network, self - organize critical traffic, self - organize critical, square lattice, lattice architecture, parallel computer, computer network, analyse the dynamic, recent paper, critical traffic, traffic flow, traffic, self - organize, simple
one - way avoidance experiment, learn avoidance behavior, learn avoidance, one - way avoidance, avoidance experiment, computational model, present a computational, instrumentally condition component, avoidance behavior, avoidance, classically condition component, model of learn, condition component, classically condition, computational
active vibration control, investigate experimentally, piezoelectric actuator, neural network, investigation of active, smart structure, structure be investigate, vibration control, active vibration, control of smart, identification and control, Experimental investigation, control, neural, network
exponentially decay sinusoid, purely exponentially decay, voigt profile - a modify, profile - a modified simplex, modify simplex approach, temporal domain, study of ambiguity, pulse spectrometry, decay sinusoid, temporal transient, voigt profile - a, Mead Simplex method, ambiguity inherent, spectral analysis, approach in pulse
dynamic business environment, technology - intensive business environment, today technology - intensive business, progressive company remain, company remain alert, business environment, end user, dynamic business, technology - intensive business, progressive company, technology end user, increasingly important, important in today, today technology - intensive, company remain
FIFO queue class, performance evaluation, time warp method, time warp, parallel discrete simulation, FIFO queue, queue class library, discrete simulation base, interface employ, datum structure, class library, author describe, employ for queue, parallel discrete, queue class
infrare - image classification, target, hide markov, visible target subcomponent, generally characterize, target subcomponent, hide markov tree, three - dimensional target, visible target, pose, Markov, image, contiguous target - sensor orientation, target pose, variable pose
Common Picture Exchange, photofinishing market, Picture Exchange environment, CPXe save, save the photofinishing, Common Picture, Picture Exchange, Exchange environment, propose the common, market, CPXe, save, photofinishing, sell digital - photo print, Internet to sell
radiofrequency echo signal, echographic radiofrequency signal, echographic radiofrequency, platform, process, real - time processing, software platform, Hardware, analog front - end hardware, Hardware and software, software signal processing, powerful echographic system, radiofrequency echo, real - time, radiofrequency
Cheng and Kleijnen, independent variable cheng, general regression metamodel, variables Cheng, queue system, model the output, Kleijnen, general regression, regression metamodel, Cheng, independent variable, metamodel for model, metamodel, Optimal allocation, simulation metamodel
continue fraction expansion, analogue circuit, implement fractional - order controller, continue fraction, fraction expansion, analogue realization, implement fractional - order, suggest approach, design of analogue, Analogue, fractional - order controller, fraction, approach, negative impedance converter, continue
atomistic information fre, information fre dretske, Language of Thought, Fred Dretske, Dretske and Jerry, Jerry Fodor, information fre, philosophy of mind, responsible for popularize, popularize three well - know, contemporary philosophy, language and atomistic, language, LOT, information - base semantic
deal with analysis, elementary net deal, elementary petri net, net deal, petri net, elementary Petri, conflict - free fair run, respect to possibility, possibility of avoid, avoid conflict, net, totally conflict - avoidable net, deal, Petri, totally conflict - avoidable
interval parameter, polynomial, characteristic polynomial, interval, Stability, condition, monotonicity, polynomial whose coefficient, coefficient be polynomial, polynomial of interval, parameter, coefficient, stability condition, Stability analysis, characteristic
graphic hardware solve, render problem, graphic hardware, hardware solve, solve a range, think on render, range of render, problem, render, think, graphic, hardware, solve, range
large causal model, categorical variable, apply to recursive, large causal, recursive model, causal model, apply, categorical, variable, estimate, initial, calibrate, calibrate initial, model of categorical, initial
VPP Fortran, global MHD simulation, three - dimensional global mhd, HPF MHD code, Earth magnetosphere, MHD simulation code, VPP, global MHD, MHD simulation, MHD, Fortran, HPF MHD, MHD code, HPF, vector - parallel supercomputer
additive cellular automata, cellular automata Finite, Finite additive cellular, automata Finite additive, periodic boundary condition, additive cellular, cellular automata, automata Finite, Finite additive, pattern space, fix and periodic, periodic boundary, boundary condition, condition be consider, automata with fix
fully entangle fraction, relevant experimental quantity, entanglement application characterize, application characterize entanglement, fully entangle, qubit pure state, entangle fraction, characterize entanglement, application characterize, hard problem, understand the relevant, relevant experimental, experimental quantity, local unitary operation, pure state
high - resolution high - frequency monolithic, high - frequency monolithic top - shooting, monolithic top - shooting microinjector, entail superior droplet, top - shoot microinjector free, introduce an innovative, superior droplet ejection, droplet ejection characteristic, eliminate satellite droplet, innovative microinjector design, high - frequency monolithic, monolithic top - shooting, model introduce, satellite droplet, high - resolution high - frequency
asynchronous transfer mode, transmission control protocol, explicit congestion notification, TCP congestion control, congestion control mechanism, TCP explicit congestion, congestion notification, ATM network edge, transfer mode, tcp ecn achieve, study The enhancement, enhancement of transmission, asynchronous transfer, TCP, control protocol
hierarchical fuzzy system, special hierarchical fuzzy, hierarchical fuzzy, fuzzy rule, fuzzy system, special hierarchical, few fuzzy rule, previous layer, current layer, fuzzy, centralize fuzzy system, paper present, present a special, complete fuzzy set, Universal approximation
Markov process simulation, efficient simulation estimator, reduction in Markov, Markov process, analytical or numerical, numerical approximation, approximation should enable, enable more efficient, Knowledge, variance reduction, Markov, approximate martingale, process simulation, efficient simulation, simulation estimator
security property, flow of information, non - interference property, time automata, concurrent system, property of concurrent, level of security, time, property, security, non - interference, notion, time non - interference, automata, automata base approach
unknown time delay, linear continuous uncertain, real physical system, continuous uncertain state, uncertain state delay, unknown time, state - delay time, linear continuous, real physical, state delay system, robust output - feedback control, time delay, continuous uncertain, delay system, physical system
neural network analysis, matrix - assist laser desorption, neural network, spectrometry with neural, wheat variety classification, spectra processing prior, mass spectrometry, network analysis, laser desorption, Variety identification, variety classification, mass spectra processing, neural, process prior, analysis The performance
earth observation mission, image earth observation, exploit remotely sensed, sense image earth, Earth observation, remotely sense datum, image earth, grow interest, electronic delivery, observation mission, mission have recently, recently attract, attract a growing, large number, capable of exploit
shop batch servicing, benefit from economy, economy of scale, manufacture operation, batch, batch server, Batch servicing, flow shop batch, Adaptive scheduling, batch stage, stage, flow shop, scheduling, shop, flow
monaco software add, new profiling program, Monaco Software, program from Monaco, software add, valuable feature, digital camera, fine - tuning of black, profile transform, add some valuable, black generation, generation and tweak, tweak of profile, new profiling, profiling program
nonlinear ink - mix behavior, printer color management, color management Color, management Color management, color management, CMYK color conversion, challenge task, due primarily, printer color, printing of digital, primarily to nonlinear, nonlinear ink - mix, ink - mix behavior, presence of redundant, redundant solution
Microsoft and IBM, boost integration Microsoft, ibm have announce, competitor ' offering, integration Microsoft, web service boost, co - exist with competitor ', service boost integration, web service, database software co - exist, Microsoft, IBM, service boost, boost integration, announce product
North American carrier, North American, American carrier survey, American carrier, network magazine carry, American, Network Magazine, North, network magazine ask, dedicated Internet access, network engineer give, magazine carry, ethernet service, Network, survey
wireless mobile node, centralize administration, mobile node, capable of communicate, hoc network consist, wireless mobile, mobile, route security, route, wireless, network consist, network infrastructure, security, manet, hoc
cooperative mutation base, base evolutionary programming, continuous function optimization, mutation base evolutionary, evolutionary programming, operator be present, Cooperative mutation, base evolutionary, continuous function, function optimization, mutation base, mutation operator, algorithm adapt, evolutionary, programming
reinvent broadband, broadband provider, broadband, reinvent, approach, provider, change, video on demand, make broadband, access and lively, distinct content, fat - pipe superhighway, future, tiere pricing, price to make
variable structure control, flexible slider - crank mechanism, pole placement technique, slider - crank mechanism system, track control, flexible slider - crank, structure control, stabilizer design, slider - crank mechanism, motor - controller flexible slider - crank, flexible vibration simultaneously, variable structure, pole placement, placement technique, technique be apply
diode Visible laser, visible laser diode, laser diode Visible, etalon - stabilize visible laser, simple etalon - stabilize visible, visible laser, diode Visible, laser diode, etalon - stabilize visible, metre range, coherence length, visible, simple etalon - stabilize, laser, constant operating temperature
optical communication system, optical datum storage, polymeric microlense play, polymeric microlense, fabricate polymeric microlense, micromolde polymeric microlense, reduce the size, communication system, optical datum, optical communication, hemispherical shape, play an important, important role, role in reduce, datum storage
asynchronous distribute system, asynchronous distribute, distribute system, election problem, link be reliable, process can crash, crash but link, election problem belong, class NFC, asynchronous, distribute, problem, NFC, election, problem
conditioning market find, air conditioning market, late ninety, lull at present, air conditioning, Market watch, boom period, market find, conditioning market, air, condition, watch, ninety, present, panic
Halden Reactor Project, Halden Reactor, Reactor Project, Reactor, Fuzzy business, project have develop, Halden, Project, investigate how signal, signal validation, thermal performance monitoring, performance monitor technique, performance monitoring, Edan Engineering, system
computer aid classification, ultrasonic mammography Frequency, mammography frequency compound, ultrasonic b - mode image, computer aid, ultrasonic b - mode, aid classification, mammography Frequency, Frequency compounding, ultrasonic mammography, b - mode image, normalize nakagami parameter, benign or malignant, compounding be recently, recently investigate
Financial Trading Platform, equity partner llc, chicago equity partner, Macgregor Financial Trading, Macgregor Chicago Equity, chicago equity oust, OMS battle heating, Chicago Equity, equity oust longview, Trading Platform, partner llc, Financial Trading, equity partner, Macgregor Financial, Macgregor Chicago
fault section estimation, on - line fault section, large - scale power network, intelligent fault section, section estimation system, fault section, section estimation, large - scale power, power network, distribute intelligent fault, on - line fault, on - line distribute intelligent, original large - scale power, distribute intelligent, distribute intelligent fse
Delaunay triangulation, delaunay triangulation overlay, overlay network, overlay, Delaunay, support group application, triangulation overlay application - layer, multicast support group, application - layer multicast support, network, triangulation overlay network, overlay application - layer multicast, triangulation, call delaunay triangulation, construct delaunay triangulation
make openmp execution, execution event visible, MPI profiling interface, OpenMP, performance, similar in spirit, paper propose, visible to runtime, interface, OpenMP performance API, MPI profiling, OpenMP performance interface, runtime performance tool, openmp execution event, OpenMP performance
High Performance Fortran, HPF Library, hpf library consist, HPF, Performance Fortran, Fortran, High Performance, language feature, core language, Library, High, language of HPF, language, transformational function, function
drug delivery make, widespread application, microfluidic flow, development of muscle - like, muscle - like actuator, separation and drug, understand these material, swell, control of microfluidic, drug delivery, delivery make, properly understand, hydrogel, ph - responsive hydrogel, ionic hydrogel
flexible manufacturing system, flexible manufacturing, manufacturing system, Petri net scheduling, problem in Flexible, deadlock - free scheduling problem, petri net, Petri net, time petri net, Petri net model, deadlock - free scheduling, standard Petri net, system, deadlock - free scheduling algorithm, sequential system
internet route infrastructure, mass communication medium, secure the internet, internet assume, Internet, integrate communication infrastructure, internet route, networked system, unprecedented growth, fast increase, user and network, assume its position, route infrastructure, number of user, communication medium
disability - relate special library, federal government work, fund disability - relate information, provide information resource, Injury Resource Network, Brain Injury Resource, disability - relate information center, Western Oregon University, Oregon Brain Injury, teach research division, National Information Clearinghouse, oregon university operate, information center, disability - relate special, fund disability - relate
intra - domain routing protocol, short path route, internet intra - domain routing, route protocol, intra - domain routing, survivable classical, base on short, path route, short path, OSPF, RIP, internet intra - domain, Internet, route, Internet backbone
class hierarchy, idea of compare, mixed - type comparison, class, compare object, hierarchy, object, mix - type, comparison, class, base, class derive, idea, compare, type
downstream manufacturing process, computer aid design, computer numerical control, numerical control milling, computer aid, aid design, manufacture process, design tool constrain, manufacture enterprise, downstream manufacturing, newly design part, process - aware computer aid, aid design tool, constrain with explicit, key element
specific generalized measurement, quantum - control measurement device, programmable measurement device, perform a specific, specific generalize, measurement device, quantum - control measurement, quantum device, measurement device serve, generalize measurement, measurement depend, quantum state, program register, quantum - state discrimination, quantum
optical fiber datum, fiber datum bus, original Manchester, fiber datum, manchester ii bi - phase, optical fiber, datum bus, error - probability analysis, modulation scheme, bi - phase coding, error probability, PTMBC, fiber, datum, Manchester
conversation and note, picture of business, CRM, note of employee, firm create, create a wide, wide picture, Customer relationship management, feed on datum, Rise, supercompany, thought, conversation, business, Customer relationship
company burgeon storage, swamp by datum, demand continue, continue to climb, plenty of player, offer solution, company burgeon, burgeon storage, storage have plummet, storage, swamp, datum, plummet, cost of storage, cost
service operation strategy, operation strategy, achieve competitive capability, knowledge - base competency, achieve competitive, knowledge - base, today knowledge - base economy, e - service company knowledge - base, competitive capability, service operation, competency, capability, Internet, company knowledge - base competency, capital
cut tool affect, metal cutting, consistent material model, internally consistent material, model to determine, determine the effect, tool edge geometry, edge geometry, cut tool, measure force, total measure force, orthogonal machining, tool affect, edge geometry modifie, cut
mathematical system characterize, elementary cellular automaton, characterize by discreteness, class of mathematical, mathematical system, system characterize, elementary cellular, cellular automaton rule, cellular automaton, Cellular automata, Evolution complexity, cellular, local interaction, time, determinism
information system, finite information system, information, infinite information system, large information system, finite information, system, system, infinite information, rough set, finite, rough set theory, exact set, rough, attribute
time domain criterion, perceptual time domain, biorthogonal linear - phase wavelet, image compression, linear - phase wavelet design, time domain, paper present, biorthogonal linear - phase, perceptual image quality, domain criterion, image, perceptual time, Design, perceptual, perceptual image
time automata base, time automata, standard partition technique, space preserve similarity, generate abstract state, state space preserve, abstract state space, automata base, preserve similarity, paper present, present a modification, standard partitioning, partition technique, technique to generate, generate abstract
reveal roi, business goal, critical part, develop metric, achieve those business, measure return, measure system, business, ROI, metric, measure, reveal, odyssey, goal, system in term
supply web - base platform, independent money manager, pick independent money, supply web - base, web - base platform, separate account, account go mainstream, money manager, entrant be shake, separate - account industry, industry by supply, platform that give, give adviser, adviser the tool, tool to pick
universal quantum gate, quantum computation base, achieve quantum computation, experimentally feasible scheme, quantum gate base, universal quantum, quantum gate, cyclic geometric phase, achieve quantum, quantum computation, computation base, Implementation of universal, set of universal, propose an experimentally, experimentally feasible
open - source rom monitor, ROM monitor, RedBoot ROM monitor, open - source rom, ROM, flash - resident software program, embed developer today, RedBoot ROM, write access, processor register, memory dump, developer today, access to processor, RedBoot, monitor
high - performance servo system, servo system base, period of plant, multirate sampling control, digital control system, plant input, sample period, plant output, high - performance servo, controller assure perfect, multirate sample, servo system, system base, output be restrict, controller assure
cmos current mirror, mosfet current mirror, complementary MOSFET current, nonlinear performance, performance of CMOS, complementary MOSFET, current mirror, mismatch The nonlinear, CMOS current, MOSFET current, improve analysis, device mismatch, simple and complementary, mirror be analyze, multisinusoidal input current
rack position control, fuel rack position, combine intelligent technique, AGC for autonomous, intelligent load frequency, autonomous power system, combine intelligent, position control, present work, develop to regulate, control the speed, fuel rack, rack position, load frequency controller, intelligent load
Common Communication Format, Communication Format, Common Communication, conversion of Common, raise and address, address a number, number of issue, issue pertain, Format, record, CCF, Common, Communication, catalogue record, experimental approach
conservation law modern, modern numerical approximation, law modern numerical, conservation law rely, approximation of conservation, conservation law, numerical approximation, law modern, Modern numerical, law rely, continuous recovery, numerical dissipation, numerical, artificial dissipation, approximation
competitive environment effectively, competitive intelligence, information on competitor, outline the process, company fail, fail to monitor, environment effectively, competitor the author, author outline, competitive intelligence process, barbie doll fail, utilize competitive intelligence, competitive, intelligence, process involve
continuous pole placement, delay state feedback, pole placement method, state feedback, linear time - delay system, pole placement, call the continuous, classical pole placement, pole placement algorithm, delay state, continuous pole, numerical study Stabilization, differential equation, state, michiel
lightweight QoS monitoring, passively monitor datum, QoS monitoring technique, QoS monitoring system, monitor technique combine, scalable and lightweight, technique combine passive, QoS monitoring, monitor technique, monitor system, CoMPACT monitor, monitor, monitor datum, base passive, make a scalable
National Design Repository, feature recognition algorithm, general - purpose feature detection, feature recognition, general - purpose feature, feature detection, feature, Theory and implementation, algorithm, Design Repository, National Design, recognition algorithm, feature detection technique, feature detection algorithm, Evaluation
positron emission tomography, emission tomography attenuation, tomography attenuation correction, positron emission, emission tomography, emission datum, attenuation correction, emission, tomography attenuation, Simultaneous iterative reconstruction, attenuation correction factor, attenuation, adequate attenuation correction, emission datum improve, image reconstruction
cost Slow adoption, wireless - retail financial service, cost Slow, wireless - retail financial, retail investor, wireless application, Slow adoption, costly service, justify the cost, bankrupt vendor, vendor have prompt, prompt bank, bank and brokerage, brokerage firm, firm to turn
decision scientist tend, people make decision, muster motivation, study how people, decision process characteristic, realization decision scientist, motivation to enact, scientist tend, tend to focus, people make, decision process, decision, decision antecedent, enact decision, decision scientist
layer pose significant, pose significant challenge, modelling process build, fuse deposition modelling, process build, material science, build up material, heat transfer, apply mechanic, dimensional accuracy capability, deposition modelling process, layer pose, pose significant, significant challenge, transfer and apply
extend cardiovascular model, cardiovascular system, establish base, consequence of physiological, cardiovascular functional status, cardiovascular, extend cardiovascular, cardiovascular parameter variation, short - term regulation, hypertensive situation, homeostatic function, physiological or pathological, study, previous work, study hemodynamic
venture capital firm, round of cash, pound of flesh, venture capital, capital firm, upheaval across telecom, telecom, prove - their long - term viability, invest in start - up, cash, flesh, venture, dotcom frenzy, long - term viability, start - up
free - form bin packing, bin packing problem, bin packing, free - form bin, algorithm, basic placement algorithm, free - form, placement algorithm, packing problem, paper describe, describe a heuristic, problem, bin, free - form item, scanline - base algorithm
rise High, online content subscription, willingness to pay, High, free lunch, content subscription, online content, user willingness, content, pay, time to pay, free, online, lunch, subscription
coordinate measure machine, measure machine coordinate, machine coordinate measure, modem manufacture industry, machine coordinate, coordinate measure, dynamic error, measure machine, coordinate, Prediction and compensation, manufacture industry, dynamic, widely utilize, modem manufacturing, error
study error propagation, finite automata, autonomous finite automaton, input memory finite, finite automaton component, finite automata introduce, memory finite automata, weakly invertible, Structure of weakly, finite, autonomous finite, finite automaton, error propagation, automata, finite automata obtain
stable, omega, mustafin - poizat conjecture, s - polygon, superstabilizer, superstable, theory, call an omega, mustafin - poizat, stabilizer, proof, conjecture, monoid, polygon, call
photographic expert group, joint photographic expert, international standard organization, expert group, Joint Photographic, photographic expert, standard organization, international standard, late image compression, image compression standard, JPEG, interactive imaging, standard, Group, Organization
cumulative distribution function, shrink factor approximation, degree of freedom, shrink factor, distribution function, cumulative distribution, distribution, propose for large, chi - square distribution, factor approximation, SFA, freedom, degree, shrink, factor
amr research find, Expert advice, organisation take advantage, exist supplier relationship, AMR Research, reverse auction, jeopardise exist supplier, exist supplier, reverse, jeopardise exist, research find, auction, supplier, Expert, advice
weight factor analysis, factor analysis weight, analysis weight factor, factor analysis, analysis weight, WeFA, weight factor, approach for elicitation, strategic level, high and strategic, influence, Binary WeFA, factor, graph, analysis
morphology Level set, level set method, mathematical morphology Level, Level set, morphology Level, mathematician for construct, arbitrary topology, mathematical morphology, surface evolution base, topology - adaptive modeling, Level, construct a model, set method, evolution approach base, surface
electronic reserve electronic, reserve electronic reserve, barely ten year, electronic reserve, reserve electronic, profession of Librarianship, ten year, barely ten, library service, reserve have exist, history of electronic, electronic, reserve, history, service for barely
noticeable low representation, computer science conference, under - representation of woman, representation of woman, numerous publication, lecture hall, survey the under - representation, receive our attention, attention through numerous, noticeable low, low representation, science conference, computer professional, computer science, preliminary result
car - caravan snaking, part, Active caravan braking, active braking system, car - caravan, design, Active, Active caravan, active braking, suppress snaking vibration, snaking, snake vibration, brake, caravan brake, suppress snaking
Cornell University Library, case analysis method, University Library Gateway, digital library management, library management system, Cornell University, case analysis, University Library, library management, emerge digital library, analysis method, discuss the design, implementation and evolution, digital library, paper discuss
Web, survey, poll, content, content manager miss, Survey, poll and survey, Web site, online world, content manager, manager miss, miss the fundamental, fundamental interactivity, web - speak, online
large polychromatic star, denote the large, large polychromatic, polychromatic star, large number, vertex be incident, positive integer, number of color, color, positive, edge - coloring, denote, large, polychromatic, star
customer care take, crm solution bank, care take care, crm solution, care take, take care, recession fade, interest be pick, customer care, significant retooling, solution bank, care of customer, rise and fall, fall and rise, take
augment spatial digital, spatial digital tree, exist spatial digital, spatial digital tree - base, digital tree - base contact, spatial digital, contact detection approach, tree - base contact detection, alternate digital tree, digital tree algorithm, digital tree, contact detection, augment spatial, computational mechanic base, asdt algorithm adopt
feedback wave viewpoint, feedback wave control, wave viewpoint, longitudinal vibration, noncollocate feedback wave, wave control strategy, feedback wave, viewpoint The analysis, control of longitudinal, analysis and control, viewpoint be synthesize, control, analysis, longitudinal, viewpoint
asymptotically constant coefficient, design methodology base, asymptotically constant, constant coefficient, control design methodology, plant with asymptotically, fractional differentiation, CRONE control, time - variant plant, design methodology, methodology base, base on fractional, plant, CRONE, frequency - domain robust control
increase product quality, enhance process integration, drive enhanced process, reduce pollution, large scale system, reduce energy, product quality, increase product, energy and material, material consumption, consumption be drive, drive enhance, scale system, process integration, average - case identifiability
repetitive process share, concurrent repetitive process, share common resource, process share common, process share resource, concurrent repetitive, repetitive process, process share, share common, share resource, paper present, present a method, method for design, common resource, system
entire economic relevance, olympic game, game, worldwide audience, evolve which help, help shape, avenue for marketing, marketing and sponsorship, sponsorship which change, change the entire, entire economic, economic relevance, Online coverage, Olympic coverage, medium
secure telephony enable, telephony enable middlebox, enable middlebox dynamic, middlebox dynamic application, enable middlebox, telephony enable, exist network infrastructure, allow dynamic application, Secure Telephony, dynamic application, Middlebox Dynamic, wide acceptance, acceptance within enterprise, problem cause, allow dynamic
center - cross recurrent neural, recurrent neural network, neuron activation function, recurrent neural, center - cross recurrent, neuron intersect, neuron activation, center of symmetry, center - cross network, evolution of rhythmic, rhythmic behavior, exact center, activation function, function be center, net input
variable, spectral datum, latent variable, regression, predictor, latent, PLS, set, method, model, link a set, spectral, datum, PLS regression, ol
planar graph, graph that minimize, number of long - face, minimize the number, long - face cycle, problem of find, embedding of planar, find embedding, number, planar, graph, long - face, number of face, minimize, cycle
describe parallel dynamic, parallel dynamic logic, charge sharing problem, exhibit high speed, parallel dynamic, high - speed cmos circuit, dynamic logic, describe parallel, speed - enhance skewed static, share problem, exhibit high, high speed, speed without charge, charge sharing, skewed static logic
popular parametric variation, parametric variation chaos, smooth chaotic system, parametric variation, variation chaos control, popular parametric, chaos control, state feedback, study the popular, state - feedback methodology, exist diffeomorphism, chaotic system, variation chaos, smooth chaotic, discrete chaotic map
information processing sensor, collision information processing, Smart collision information, information processing, processing sensor, collision information, fast move object, Smart collision, fast move, technical note, note we survey, survey the area, object, fast move physical, collision
reach strong consensus, Byzantine agreement problem, conventional distribute consensus, distribute consensus problem, strong consensus, Byzantine agreement, reach strong, distribute consensus, conventional distribute, consensus problem, general network, consensus, problem, agreement problem, Byzantine
large formaldehyde production, formaldehyde production plant, process control system, Chemical production, formaldehyde plant process, commission the large, annual capacity, basf commission, plant process control, formaldehyde production, formaldehyde plant, production plant, large formaldehyde, control system, process control
product design blackboard, knowledge - base product design, knowledge organisation play, product design, play an important, important role, role in build, build a knowledge - base, blackboard, blackboard system, design blackboard, Knowledge, design blackboard system, graph decomposition, Knowledge organisation
make great progress, Proteus Test, analysis parallelize compiler, parallelize compiler, data - flow analysis parallelize, parallelize compiler aft, Advanced Proteus Test, make great, great progress, progress in recent, Test, Proteus, analysis parallelize, parallelize, recent year
intrinsic dimension, estimate the intrinsic, fractal - base method, intrinsic, dimension, problem of estimate, estimate, grassberger - procaccia algorithm, fractal - base approach, fractal - base, dimension of datum, datum, algorithm, paper, investigate
precise logical unit, one - bit precise logical, precise answer, collectively compute, unit to collectively, compute a precise, moderate - precision analog unit, one - bit precise, precise logical, logical unit, analog, precise, computation, large complexity, hybrid analog - digital scheme
DVD format war, format war rage, winner insight, dvd format, dvd medium manufacturer, media re, DVD, format war, dvd medium, war rage, medium manufacturer stand, re, make, insight, war abound
call ordered median, order median problem, order median function, order median, location theory, call ordered, algorithmic result, introduce and analyze, median problem, objective function, median function, objective function unifie, common objective function, result for order, theory
Today North American, north american girl, computer today north, Today North, North American, parent frequently regard, regard computer science, frequently regard computer, american girl, computer today, parent frequently, frequently regard, science and programming, regard computer, computer science
redundant manipulator redundant, manipulator redundant manipulator, redundant manipulator, manipulator redundant, chaotic phenomenon, presence of obstacle, resolution of singularity, phenomenon and fractional - order, fractional - order dynamic, advantage when compare, compare with classical, free space, trajectory planning algorithm, trajectory optimization, trajectory planning scheme
decentralize integral controllability, term decentralize integral, stable independent detuning, decentralize integral, integral controllability, stable decentralized controller, stable decentralized, integral action, term decentralize, stable independent, independent detuning, close - loop property, integral, DIC, decentralize
control system present, constraint include precedence, include precedence constraint, distribute control system, message - base scheduling method, system present, general distribute control, distribute control, include precedence, message - base scheduling, scheduling method, period and priority, time constraint, constraint include, precedence constraint
Roman Poznanski, Discreteness and relevance, reply to Roman, Poznanski, reply fail, concern voice, fail to offer, idea that continuity, continuity be irrelevant, good understanding, understanding of cognitive, eliasmith claim, voice by poznanski, cognitive system, relevance
