gas algorithm Recent, algorithm Recent theoretical, fluid dynamic problem, recent theoretical result, quantum lattice gas, solve fluid dynamic, lattice gas algorithm, Recent theoretical, theoretical result suggest, quantum information processor, information processor communicate, lattice gas, communicate via classical, classical channel, fluid dynamic
much - need technical skill, computer science degree, science degree program, computer science, technical skill, science degree, underrepresente in computer, opportunity and society, society ability, ability to produce, produce people, people with much - need, degree program, undergraduate and graduate, graduate level
canonical dual frame, nice dual wavelet, exist wavelet frame, canonical dual, single function, dual frame, translate and dilate, wavelet frame, nice dual, exist wavelet, dual, consist of wavelet, wavelet, canonical, frame
classical indiscernibility relation, binary reflexive relation, generalize rough approximation, rough approximation mapping, generalize rough, comparative study, paper we focus, binary reflexive, rough approximation, generalize, rough, relation, definability of set, approximation, set
modernize legacy fortran, scalable parallel performance, advanced optimization strategy, compiler high - performance fortran, legacy fortran code, Rice dHPF compiler, achieve scalable parallel, scalable parallel, legacy Fortran, vehicle for modernize, modernize legacy, parallel performance, Rice dHPF, dhpf compiler high - performance, HPF
Jupiters Network Gaming, game regulation, Network Gaming, Queensland Office, Jupiters Network, Jackpot Keno, Office of Gaming, implement by jupiter, Australian state, CBS College Publishing, house net hold, Keno We describe, state of Queensland, Keno, game
stage motion Conventional, motion conventional pid - like, conventional pid - like siso, high - precision wafer stage, wafer stage motion, common in industry, wafer stage, stage motion, requirement become tight, pid - like siso controller, pid - like siso, Conventional, MIMO control, MIMO, advanced controller
laser percussion drill, percussion drilling investigate, laser percussion, investigate the relationship, Comparative statistical analysis, hole taper, drilling investigate, circularity in laser, taper and circularity, relationship and parameter, parameter interaction, controllable variable, hole, laser, percussion
set omega define, semi - algebraic set omega, set Omega, global minimization, recent semidefinite programming, sherali and adam, polynomial inequality, compact semi - algebraic set, multivariate polynomial, relaxation, Omega, programming, RLT procedure, procedure of Sherali, recent semidefinite
rate as high, tool wear monitor, hide markov model - base, model - base tool wear, hide markov, markov model - base tool, monitor in machining, paper present, modeling framework, machining process, tool wear, markov model, Markov, wear, monitor
speech parameterization approach, delta delta parameterization, auto - regressive vector modeling, principal component analysis, common formalism, time - frequency principal component, call vector filtering, call contextual principal, speech parameterization, propose a formalism, spectral trajectory, text - independent speaker identification, number of speech, Delta Delta, contextual principal component
shape memory alloy, embed shape memory, one - dimensional sma composite, feedback control, control of embed, memory alloy, smart structure, embed shape, shape memory, topic of interest, one - dimensional sma, SMA composite, actuator have recently, sma composite base, SMA
cellular neural network, three - cell cellular neural, nonsymmetric Cellular Neural, third - order nonsymmetric cellular, symmetric three - cell cellular, cellular neural, neural network, large - size complex attractor, period double bifurcation, complex dynamic happen, paper introduce, introduce a class, class of third - order, show through computer, computer simulation
Banach space, two - part condition, Hadamard condition, Banach, condition be meet, Hadamard, condition, map, stability, Lipschitz continuous inverse, theorem, homeomorphism, theorem by Hadamard, two - part, space
double three - level gto, three - level gto inverter, GTO inverter drive, low torque ripple - direct, torque hysteresis control - for, high - power medium - voltage induction, three - level gto, GTO inverter, medium - voltage induction motor, motor drive fed, minimum torque ripple, control - for very high - power, highly dynamic control, dynamic control scheme, torque ripple
system digital network, congenital heart disease, integrate system digital, suspect congenital heart, single integrate system, digital network, heart disease, videoconferencing system, system digital, single ISDN line, test the adequacy, child with suspect, congenital heart, single ISDN, ISDN line
equidistant time grid, specially design difference, design difference operator, step - size extension multistep, extension multistep method, multistep method, time grid, classically construct, construct by specially, specially design, design difference, difference operator, variable step - size extension, multistep, variable step - size
conical tool, conical milling cutter, optimal geometry, tool The side, rule surface, conical milling, conical, side milling, rule, mill, cutter, machine turbine blade, mill of rule, surface, five - axis
leapfrog sprint pc, sprint pc fall, verizon leapfrog sprint, verizon wireless add, wireless carrier industry, wireless add considerably, sprint pc, carrier industry second - quarter, industry second - quarter result, second - quarter result show, analyst expect, pc fall, wireless carrier, wireless add, carrier industry
make scheme accessible, make interactive decision, multiple criterion decision, development intend, intend to make, wider spectrum, interactive decision make, decision make scheme, multiple criterion, make interactive, decision maker, decision, present a development, interactive decision process, interactive
real - world autonomous agent, attract attention, evolve receptive - field controller, mobile robot, autonomous agent, agent have attract, evolve receptive - field, alternative evolutionary method, generate controller, simple Braitenberg, simple Braitenberg architecture, controller, evolutionary method, evolution, method to generate
price, price reduction, comparative price format, price discount, price format, semantic relatedness, preference reversal, target product, finding show, accept, finding, people accept, people, preference reversal disappear, unreporte preference reversal
propulsion control system, integrate flight, multivariable integrate flight, flight and propulsion, control system, flight phase, experimental vertical, short take - off, take - off and land, flight, STOL envelope, system We describe, STOL, acceleration from hover, scheduling scheme
simple optimal - filtering problem, discrete white noise, binary telegraph signal, neural network, white noise, filtration the combine, mutual influence, approach be compare, compare by solve, solve two simple, binary telegraph, telegraph signal, observation in discrete, discrete white, linear filter
newly mint law, mint law school, law school graduate, senior litigator migrate, state of flux, strike number, mint law, law school, senior litigator, lawyer, firm, care, year, flux, job
image processing review, review a significant, multiresolution markov model, model and process, image processing, statistical multiresolution, signal and image, significant component, method, rich field, process, Multiresolution, review, field of statistical, markov model
mathematical biology, equation from mathematical, numerical solution, pde system, system, Operator splitting, discretization these PDE, split, nonlinear ode, splitting and approximate, biology, numerical, approximate matrix factorization, paper, model
information technology, Information, reveal the concept, technology, Information and information, paper reveal, concept of information, reveal, concept, paper, indian university, technology and Indian, describe the close, close relationship, Indian
integrate building automation, build automation system, integrate building, automation system, air conditioning, air temperature, ability to sense, build heating, HVAC community, HVAC, system, automation, integrate, build, open protocol system
electrical and heat, shape memory alloy, shape memory, memory alloy, memory alloy actuate, sma actuate manipulator, freedom rotary manipulator, rotary manipulator actuate, sma actuate, SMA, single degree, degree of freedom, freedom rotary, memory, shape
retrodiction involve find, measurement event, quantum retrodiction involve, involve find, Quantum retrodiction, Quantum, open system, retrodiction, preparation event, open system quantum, system, retrodiction in open, open, quantum mechanic, time
Central Queensland University, Central Queensland, Queensland University experience, participation, australian university, woman, participation rate, australian high education, Australian, woman in compute, woman participation, participation of woman, compute, ten year, university
change industry economic, comeback telecom carrier, Life after bankruptcy, industry economic, follow their lead, telecom carrier, change industry, comeback telecom, carrier be change, Life, bankruptcy, economic, lead, telecom, carrier
summary of result, high magnetic field, compute implementation base, survey recent work, evaluate quantum computing, quantum computing implementation, qubit in semiconductor, semiconductor structure, structure we survey, recent work, work on design, design and evaluate, implementation base, base on nuclear, nuclear or bind - electron
hadamard matrix come, construct hadamard matrix, come from dihedral, matrix come, construct Hadamard, Hadamard, dihedral group, property of hadamard, dihedral, matrix, property, come, introduce a method, group of order, study some property
Knowledge acquisition, knowledge base, paper present, development for structure, Knowledge, acquisition and ontology, expert system, Inferential Modelling Technique, acquisition, ontology development, Ontological engineering, present the process, ontology, system, construction
Accident Response Group, Sandia National Labs, network knowledge base, Response Group, digitize video integration, National Labs, national security laboratory, Training for trouble, knowledge base, base be find, security context, national security, ARG searchable video, Lockheed Martin, digitize video
two - body problem, couple, problem, two - body, professional culture, position, culture, opportunity, two - body opportunity, couple exist, partner, deeply share understanding, professional, curious, refer
fuel consolidation theory, vendor ' failure fuel, software vendor ' failure, failure fuel consolidation, OSS space, independent software vendor, engine fall, telecom interconnection, interconnection and billing, attrition could accelerate, independent entity, failure fuel, wayside as independent, software vendor ', accelerate consolidation
robust control system, control system synthesis, control system, nonstationary be offer, robust control, system synthesis, system via reflection, auxiliary integral surface, system, control, phase constraint varied, auxiliary surface, equivalent move, reflection onto auxiliary, approach to robust
prescriptive research study, Information Technology, Management Information System, research study, empirical and prescriptive, Project Management Information, information system, Technology, construction, Information, Strategic implementation, implementation, improve implementation, case study, East of Queensland
Direct aperture optimization, Direct aperture, optimization, aperture, IMRT IMRT treatment, turnkey solution, traditionally be produce, Direct, intensity distribution, beam, aperture optimization algorithm, IMRT IMRT, beam angle, IMRT, traditional intensity optimization
chinese - english machine translation, information processing, significant and challenge, challenge problem, problem in information, system chinese - english machine, interlingua - base chinese - english, machine translation, chinese - english, Chinese language analysis, language translation system, ICENT, system, chinese - english natural language, interlingua - base
virtual reality therapy, case Virtual reality, therapeutic case Virtual, reality therapy, VRT, sophisticated technology, therapeutic case, characterize by mark, mark anxiety, case Virtual, virtual, acrophobia, reality, treatment, perform exposure therapy
experience and trial, trial and error, artificial neural network, neural network Design, neural network, sequential controller, recurrent neural network, controller, propose controller, Design and implementation, concept of artificial, rnn - base sequential controller, flexible manufacturing control, artificial neural, implementation
control projective synchronization, state vector synchronize, control projective, chaotic system projective, partially linear system, nonpartially - linear chaotic system, state vector, partially linear, projective, system projective, synchronization in nonpartially - linear, scale factor, synchronization, chaotic system, linear system
service - orient environment, agent - orient and service - orient, deploy dynamic distribute, dynamic distribute system, environment for deploy, java - base agent - orient, deploy dynamic, environment, JASE, service - orient, agent - orient, paper present jase, service, Service Server, java - base
knowledge e - base approach, e - base approach dedicate, interactive and dynamic, paper present, present a knowledge, knowledge e - base, e - base approach, approach dedicated, SIGIU, system call sigiu, manage urban infrastructure, approach, urban infrastructure, dynamic monitoring, efficient management
arbitrary k - space trajectory, compensation function denote, sample density compensation, density compensation function, arbitrary k - space, k - space trajectory, datum acquire, function denote, sample density, density compensation, weight, same - image weight, datum, arbitrary, propose to reconstruct
Valley Electric Cooperative, Shenandoah Valley Electric, engineering Shenandoah Valley, Shenandoah Valley, Valley Electric, automate engineering shenandoah, Gyr SCADA system, function and create, create an interactive, building block approach, Landis and Gyr, Gyr SCADA, automate engineering, engineering function, make engineering study
fuzzy, business and economic, study investigate, investigate the application, arise in business, fuzzy optimal profit, problem, optimal profit problem, optimal, genetic algorithm, apply genetic algorithm, optimal profit, profit problem, fuzzy optimal, apply genetic
model predictive control, feedback model predictive, model predictive, output feedback model, feedback MPC, linear matrix inequality, feedback MPC algorithm, state feedback MPC, Robust output feedback, constrain output feedback, fundamental question, model uncertainty, model, robust constrained output, MPC
Army Corps, corps of engineer, control management mission, engineer have develop, system begin operation, management system begin, management mission, automate information system, water control management, begin operation, water management system, enable water control, water control, system begin, Army
law library survey, BIALL academic law, academic law library, academic law, law library, paper outline, outline the activity, activity and funding, Cardiff University, SPTL, academic, postal questionnaire undertake, information service staff, funding of academic, law
CDN company Kontiki, Kontiki, work for CDN, CDN company, physical distance, content trip, affect the time, distance, electronic file, content, quickly distribute content, edge, make redundant file, redundant file request, distribute content
scatter elastic - wave field, local optimizer, optimization problem, Detection, elastic - wave field, detection technique, propose detection technique, technique, composite, optimization, composite from scatter, optimization problem minimize, problem, combine optimization technique, flaw
tenure track faculty, track faculty member, Colorado School, school of mine, perspective on academic, software company, academic vs. industry, computer science, science the author, author be tenure, tenure track, track faculty, move into senior, senior position, position at software
rboc capex budget, packet promise past, competitive carrier market, slash of rboc, RBOC capex, promise past, softswitch vendor, force to retrench, carrier market, significant slashing, internet off - load application, limit internet off - load, present, RBOC, limit internet
Extensible Markup Language, Markup Language, Extensible Markup, XML, paper discuss, xml meta - datum management, XML commerce application, business, Language, XML commerce, Extensible, Markup, impact analysis, xml meta - data, Electronic Commerce
business process reengineere, process reengineere, process model tool, business process, approach for business, present an overview, reengineere, process, model tool, business, knowledge - base approach, SHAMASH, current relate tool, tool for business, SHAMASH We present
application - level multicast infrastructure, paper present scribe, decentralize application - level multicast, scalable application - level, application - level multicast, multicast infrastructure, large - scale and decentralized, paper present, Scribe, infrastructure This paper, application - level, infrastructure, scribe support large, Pastry, support large number
hamburgische electricitats - werke, city of Hamburg, reliable electricity service, hew select network, HEW, select network management, hew select, electricity service, Hamburgische, Hamburg, provide a reliable, company supply electricity, Germany, network, network management
hopfield neural network, discuss Hopfield neural, Hopfield neural, discuss Hopfield, global stability, neural network, Hopfield, global convergence, convergence of Hopfield, investigate their global, neural, network, global, work, investigate
intensity modulate radiotherapy, dynamic intensity modulate, electronic portal imaging, modulate radiotherapy, portal imaging device, scan electronic portal, electronic portal, portal imaging, dynamic intensity, field edge, leaf trajectory, image device, portal, leaf, order to guarantee
algebraic modelling, treat social behavior, multi - agent system, algebraic modelling approach, paper be devote, unified framework, framework for describe, describe and treat, distribute problem - solve, MAS, social, problem - solving in mas, social behavior, algebraic, model approach
base multidimensional approach, binge eat disorder, binge eat, body image disturbance, relate construct, female binge eat, main goal, preliminarily evaluate, evaluate the efficacy, binge eat behavior, eat disorder symptomathology, body image, treatment, body image attitude, psychonutritional group base
vibratory bowl feeder, system vibratory bowl, feeder system vibratory, bowl feeder system, vibratory bowl, flexible air - jet tooling, automatic assembly system, large volume automatic, volume automatic assembly, bowl feeder, jet base orienting, air jet base, flexible air - jet, assembly system, vibratory
paper describe solution, paper describe, construction task, angle trajectory, pneumatic manipulator problem, pneumatic, task, Positional control, pneumatic manipulator, task this paper, trajectory, control, manipulator, manipulator problem, long linear
compute stationary nash, complementarity problem LCP, stationary nash equilibrium, Nash equilibrium pair, average payoff criterion, linear complementarity problem, limit average payoff, problem LCP, undiscounted single - controller stochastic, stationary Nash, nonzero - sum stochastic game, control the transition, payoff criterion, single - controller stochastic game, stationary strategy
smooth be incorporate, susceptibility contrast MRI, Gaussian process deconvolution, impulse response function, dynamic susceptibility contrast, residual impulse response, contrast MRI, Gaussian process, quantification use gaussian, response function, GPD, require deconvolution, obtain the residual, residual impulse, impulse response
journalist in orissa, work journalist, Orissa, work, work journalist represent, journalist, Information, analysis datum receive, insight, information source explore, mode, study, analysis datum, newspaper organisation, information requirement
process work focus, MIS integration process, lean manufacturing process, integration process work, make the mis, work focus, MIS integration, cross - functional team, deliver a smooth, lean manufacturing, process work, team that implement, implement flexible, flexible and scalable, scalable information system
automate system host, outsource backup save, backup save time, Gadget Shop, shop be rely, core business, automate system, save time, time To increase, increase the efficiency, free staff, staff to concentrate, concentrate on core, system host, datum backup
group communication internet, communication internet protocol, secure group communication, introduce and analyze, group, Scalable secure group, implement secure group, group communication, Scalable, analyze a scalable, scalable rekeying scheme, Internet protocol multicast, rekeying, secure group, secure
low reynold number, couple map lattice, low reynold, map lattice model, cml model, exhibit complex wake, map lattice, couple map, frequency cell, Control, CML, number can exhibit, DNL method, low - order cml model, efficient cml model
system network successive, power system network, network successive expansion, system network expansion, apply symbolic analysis, power system, network expansion planning, successive expansion planning, network planning apply, planning apply symbolic, system network, expansion planning, energy and service, symbolic analysis, power
visual, well - do computer presentation, law firm, learn experience, technology in law, well - do computer, learn, visual learning apply, computer presentation, visual technology, software, client meeting, settlement conference, learn apply, common in client
universal quantum delete, quantum delete machine, non - optimal universal quantum, quantum delete, universal quantum, standard universal quantum, delete machine, verify the non - existence, quantum, universal, Buzek and Hillery, standard universal, delete, machine, non - optimal
monotonicity conservation, stability and convergence, important to choose, method in practice, practice that mirror, mirror the characteristic, characteristic property, heat equation, monotonicity, initial heat distribution, one - dimensional heat equation, conservation, numerical method, numerical solution, heat
redwood shore, bank pin, base in redwood, pin their back - office, back - office hope, hope on successor, scraper the big, screen scraper, Yodlee, shore, web site, Redwood, account aggregation, datum, web site update
fuzzy MCDM model, mcdm model base, improve fuzzy mcdm, criterion decision make, multiple criterion decision, concept liang present, fuzzy multiple criterion, anti - ideal concept liang, fuzzy MCDM, MCDM model, Liang method, liang present, ideal and anti - ideal, decision make, ranking method
arrange solid ball, solid ball, ball, solid, red ball, blue solid ball, put red ball, red, chain, arrange, blue solid, graph, number, Put, Put red
integrate support base, interactive safety - critical system, task model, phase of interactive, paper present, air - traffic control domain, support base, safety - critical application, model, interactive, design, task, evaluation phase, case study, control domain
Trifecta Daily, complete cm trifecta, drug company fill, people participate, physically and emotionally, feel physically, Bristol Myers Squibb, documentum complete, form describe, Daily, clinical trial content, Trifecta, Documentum, manage clinical trial, clinical trial
flexible - disk coupling system, rotate flexible - shaft, eddy - current damper, strain energy, formulate by apply, apply the assume - mode, assume - mode method, kinetic and strain, virtual work, couple system, control law, feedback control law, rotate, result discretized equation, system
Alice and Bob, Dense coding, entangle qubit, entangle qubit share, pairwise entangle qubit, entangle, qubit, Alice, Bob, qubit share, entangle state, maximally entangle, code, quantum entangle qubit, Dense
conventionally adopt algorithm, particle size distribution, light scatter method, forward light scatter, multiple scattering, size distribution, particle shape, particle system, adopt algorithm, particle, occurrence of multiple, result in false, false calculation, conventionally adopt, highly concentrated suspension
leverage exist cable, exist cable architecture, interactive infrastructure, exist two - way, exist cable, operator prepare, prepare to enter, leverage their exist, cable architecture, exist, United States, support voip, architecture as operator, VoIP, leverage
biorthogonal nonuniform filter, concern biorthogonal nonuniform, nonuniform filter bank, paper concern biorthogonal, filter bank, tree structure filter, filter, structure this paper, paper concern, structured filter bank, bank, biorthogonal, nonuniform, tree structure, analysis and synthesis
lead industry expert, aggregator versus disintermediator, large - scale content aggregator, versus disintermediator, long in doubt, lead industry, year ago, industry expert, online information service, content aggregator, large - scale content, information superhighstreet, aggregator versus, professional online information, information supply chain
merge convolutive source, reduce undesired interference, convolutive source separation, beamforme convolutive blind, Convolutive blind source, geometric beamforming Convolutive, source separation, similar goal - extract, reduce undesired, convolutive, adaptive beamforming, separation, source, beamforme, Geometric
long a barrier, Integration, web service, barrier, agile business, agile, Web, long, critical technology, technology for enable, business, service, critical, technology, enable
Dose Planning Method, Monte Carlo code, Dose Planning, Monte Carlo, monte carlo calculation, Method, plan, racetrack microtron, Carlo code, comprehensive set, scan electron beam, electron beam produce, mev scan electron, Dose, Carlo
portable consumer product, high - end portable consumer, deliver improved usability, consumer product, portable consumer, consumer operating system, SoC To deliver, deliver improve, improve usability, usability in high - end, high - end portable, consumer, operating system, support application, application development
provide diagnostic information, demente disorder, volumetric measurement, pathologic finding, feasibility study, neurodegenerative disease, measurement of cerebrospinal, cerebrospinal fluid, fluid to distinguish, distinguish normal, normal from pathologic, demonstrate that automate, automate method, method to describe, describe the severity
robust self - tuning pid, self - tune pid controller, self - tuning pid, PID controller, PID controller suitable, nonlinear system, suitable for nonlinear, PID, nonlinear, relay, Robust, system, propose a robust, chatter, control system employ
high payoff probability, typical probability learn, probability learn task, rational choice, Rational choice theory, choice, high payoff, probability match, typical probability, probability, learn task, participant, repeat choice, rational, response alternative
High dynamic control, achieve high efficiency, Alspa VDM, typically low switching, low switching frequency, High dynamic, fast torque response, torque response time, dynamic control system, high efficiency, main strip mill, achieve high, response time, typically low, low switching
Newly fashionable virtual, fashionable virtual network, virtual network operator, Newly fashionable, corporate sector, set to clean, virtual victory, network operator, virtual network, Newly, virtual, victory, sector, fashionable, operator
comput . appl . math, block implicit method, appl . math, block implicit, nonlinear splitting need, consider by brugnano, Nova Science, recent trend, implementation of block, implicit, block, Brugnano and Trigiante, method for ode, Math, Numerical Analysis
agv modern automate, modern automate manufacturing, single AGV Modern, automate guide vehicle, process employ automate, employ automate guide, automate manufacturing process, flexible manufacturing system, manufacturing process employ, AGV Modern, optimal material distribution, material distribution policy, employ automate, automate guide, guide vehicle
identification of deterioration, states of operation, degree of deterioration, real - time monitoring system, learn vector quantization, paper describe, fault, monitor system, monitor, pattern recognition, vector quantization, learn, fault signature, system, fault diagnosis
adaptable dialog box, build dialog box, dialog box, program the author, author present, present a framework, framework for build, cross - platform programming, box that adapt, box, dialog, handle dialog size, microsoft window, Adaptable, platform
carnegie mellon woman, Carnegie Mellon University, SCS action plan, computer science, effective computer science, computer science student, SCS action, mellon woman, Mellon University, sc, plan This paper, paper aim, encourage and support, science student organization, woman
human produce summary, simply extract sentence, human produce, simply extract, sentence extraction, summary of document, probabilistic approach, original document, sentence, piece of information, sentence compression, Summarization, extraction, probabilistic, human
Internet, change substantially, computer, domesticate computer, people, highly educate people, personal, personal computer, compare veteran internet, educate people, veteran Internet, internet user, begin highly educated, personal and domestic, domesticate
bayesian belief network, combine disparate source, Bayesian Belief, belief network, disparate source, assessment of software - base, safety assessment, paper discuss, software - base system, source of information, Belief Net, Bayesian, Belief, det norske verita, network when combine
American Free Trade, North American Free, World Trade Organization, Free Trade Agreement, era of globalization, intellectual bundling, academic library, Subject access, grow influence, supranational organization, World Trade, Free Trade, access to government, American Free, government document
network installation, Talk, tech be cheap, expensive part, part of network, consultancy, support, tech, cheap, installation, server, expensive, part, network, remotely manage
Quantum phase gate, phase gate operation, side be postselecte, phase gate, photonic qubit, postselection We show, reflectivity one - third, output conserve, conserve the number, number of photon, gate operation, beam splitter, gate for photonic, realize a quantum, phase
line conditioner, pulsewidth - modulate line conditioner, voltage, line, output voltage, conditioner, voltage control, pulsewidth - modulate line, reversible voltage control, output voltage control, output, chopper, control, paper, series voltage compensation
hmi integrate pc - base, human machine interface, integrate pc - base control, hmi integrate, plant floor system, technology can benefit, human machine, benefit a plant, plant floor, pc - base control, HMI, control, floor system, PLC, pc - base control system
vary milling process, numerical model base, chip temperature field, continuous machining, finite difference method, present to predict, time vary milling, chip, chip temperature, tool and chip, predict tool, temperature, continuous, tool, machine
undirected ring network, node - capacitate routing problem, fractional relaxation, route problem, ring route, multicommodity flow, route, node - capacitate multicommodity flow, problem, ring network, flow, node, general undirected graph, farkas ' lemma, distance inequality
optimize chemical vapor, chemical vapor deposition, chemical vapor, vapor deposition manufacturing, feasibility study, study be carry, thin film growth, vapor deposition, material fabrication, design, thin film, study A study, CVD, deposition manufacturing system, study
online advertising market, advertising market continue, pay subscription income, online content marketer, continue to struggle, improve profitability, market continue, marketer be wrestle, level of pay, revenue mix, mix in order, order to reach, reach or improve, sell content online, FREE to FEE
over - zealous supplier, year ago, time to buy, make deal, perfect time, time to invest, time, economy, over - zealous, ago, squeeze as manufacturer, buy, upside, supplier, unthinkable
efficient verification method, bound model check, ctl bound model, model check, sit method consist, fragment of CTL, bmc base, BMC, verification method, elementary net system, ctl bound, reactive system, sit method, recently introduce, universal fragment
High Performance Fortran, Efficient parallel programming, parallel programming, Performance Fortran OpenMP, High Performance, scalable smp machine, high - level interface, scalable share memory, smp machine, Efficient parallel, datum locality, memory, fortran openmp offer, HPF, share memory
agile revolution, business revolution, business agility, revolution, business, air, agility, agile, technology be evolve, fast, evolve, theory, technology
object - base rate allocation, video object - base rate, variable temporal rate, code multiple video, object - base coding, temporal rate, multiple video object, bit allocation, propose algorithm, allocation with variable, allocation be perform, object - base, temporal, video object, vary
particle image tracking, dilute particle - liquid flow, image tracking technique, coarse spherical particle - liquid, three - dimensional particle image, image tracking, image, study the coarse, particle, particle image, front view, view image, flow, front view image, view
reach medium voltage, drive multilevel converter, standard component, extra degree, multilevel drive multilevel, degree of freedom, converter with series, series connection, power electronic, electronic to reach, reach medium, connection of semiconductor, multilevel direct torque, multilevel, multilevel drive
Malaysian model Japan, model Japan, Foma, generation service, attractive to consumer, Malaysian, Japan, operator Docomo, service, Simon Marshall, Docomo, model, generation, attractive, consumer
good user performance, engineering involve adapt, intermediate system - intermediate system, traffic engineering involve, open short path, involve adapt, joint goal, goal of good, good user, performance and efficient, Traffic engineering, protocol traffic engineering, Traffic, route protocol traffic, path route protocol
generalize image mosaice, view multispectral imaging, resolution of imaging, significantly enhance, spatially vary spectral, generalize mosaicing, imaging system, image mosaice, mosaice, spatially vary, image we present, spectral resolution, image, spectral, view multispectral
probability of survival, Poisson stream, insurance company, stream of premium, company with allowance, rate of return, work capital, capital be calculate, premium the probability, Poisson, probability, survival, stream, insurance, company
rbf - like neural architecture, approach of manipulator, rbf - like static neural, neural architecture, base identification approach, static neural network, neural network base, neural, rbf - like neural, network base identification, manipulator dynamic, neural network, rbf - like static, rbf - like, robot
allow prior datum, haskell dependent type, dependent type reflect, reflect the fact, fact that validity, relative notion, notion by allow, datum, Haskell type class, dependent type, simulate dependent type, prior datum, subsequent datum, Haskell type, type
ERP and MIS, MVDs constraints, acyclic database, acyclic database scheme, MIS, database, acyclic, ERP, gamma, large - scale system, database technology, system, database scheme, scheme, performance
point of view, frequency estimation method, Bairstow method, smart structure, estimation method, multi - modal frequency, method, estimation, frequency, parameter - base frequency estimation, well - know frequency estimation, natural frequency, estimation of multi - modal, multi - modal, real - time
differential algebraic equation, partial differential system, algebraic equation obtain, differential algebraic, algebraic equation, original partial differential, discuss the relation, constant coefficient, differential, linear over - determine system, Completion to involution, equation obtain, differential equation, involution, equation
construct state - hold boolean, state - hold boolean function, state - hold boolean, boolean function, linear threshold logic, Hysteretic threshold logic, hysteretic linear - threshold, threshold logic, quasi - delay insensitive asynchronous, introduce the class, extension of linear, prove their general, general applicability, applicability for construct, insensitive asynchronous design
simulate dynamic response, Virtual Test Facility, center for simulate, California Institute, Institute of Technology, shock physics facility, virtual shock physic, simulate dynamic, dynamic response, Test Facility, Virtual Test, solid material response, technology be construct, material the center, target material
uml datum model, main database model, object role model, database model notation, main database, unify modeling language, uml datum, Entity Relationship, Information Engineering, Engineering and Barker, ORM, Object Role, include unify modeling, role model, model
Blind source separation, source separation apply, Blind source, encryption Blind source, dual encryption Blind, explore to add, image cryptosystem, Blind, exist encryption method, BSS, source, separation, encryption level, cryptosystem, cryptosystem with dual
quantum information processing, exploit randomness, information processing - in, quantum information, make to play, quantum algorithm, information, randomness, quantum, decoherence, algorithm, exploit, decoherence control, Random switching, role in quantum
classify meteorological volumetric, Environment Canada, meteorological volumetric radar, volumetric storm cell, storm cell classification, cell classification decision, radar decision support, decision algorithm, database of Environment, classification decision algorithm, volumetric radar datum, radar decision, storm cell, decision support system, decision
TNO HPF benchmark, suite high - performance fortran, HPF benchmark suite, TNO HPF, HPF, find performance bug, Adaptor HPF compiler, hpf compiler, provide portable performance, GMD Adaptor HPF, benchmark suite high - performance, performance, distribute memory machine, Fortran, compiler
senior software executive, create agile business, business process management, entrepreneurial software developer, product development plan, integrate application architecture, lead software company, world lead software, agile business, Senior software, explain the impact, business process, development plan, web service, world lead
testing use p - value, multivariate discordant observation, appl . statist ., identify multiple outlier, identify multivariate discordant, multivariate normal sample, discordant observation, identify multiple, computer - intensive approach, approach The problem, normal sample, sample be approach, approach via successive, successive testing, table critical
manufacture datum analysis, manufacture enterprise sector, contemporary small manufacturing, small manufacturing enterprise, datum analysis, manufacture datum, prototype manufacturing data, machine tool error, enterprise sector, contemporary small, datum analysis expert, datum, analysis, main focus, manufacture error
Gowda and Song, linear complementarity problem, semidefinite linear complementarity, strong monotonicity property, study the p - property, strong monotonicity, semidefinite linear, property, introduce and study, symmetric and real, Gowda, Song, monotonicity, strong, complementarity
security threat today, Honey Pot program, unseen malicious executable, email attachment, Honey Pot, arrive as email, Pot program, unseen malicious, threat today, malicious, Pot, executable, Honey, SubSeven Honey Pot, SubSeven
customer database, maintain and update, valuable asset, update the information, information contain, organisation realise, importance of auditing, datum quality, unlock the roi, CRM, fail to realise, ROI, datum, realise, ROI in CRM
area as varied, vary as computer, canada host north, host north america, North America, replace physical cash, community in canada, canada host, host north, America most comprehensive, introduce electronic cash, mid - sized community, electronic cash, Mondex, physical cash
storage density increase, information storage medium, high storage density, optical disk substrate, digital video disk, small recording mark, thin optical disk, optical disk, dvd ram substrate, insulation layer, birefringence distribution, high - density optical disk, disk substrate, storage medium, high storage
win post, mail system, waste money, grant can end, end up waste, pitney bowe, Mike Stecyk, business, mail for grant, opportunity, mail, business at Pitney, win, post, system
review of knowledge, car - caravan snaking, pintle pin friction, friction damp, pintle pin, snaking, pintle, damp, friction, knowledge of car - caravan, pin friction, car - caravan, model, show to give, pin
process industry Continuous, industry Continuous process, continuous process monitor, Continuous process, monitor in gaseous, liquid or molten, molten medium, fundamental requirement, Continuous, process, sensor, process control, ultrasonic sensor, ultrasonic, process industry
mentor and role, role model, computer science, People who make, make a difference, woman in computer, literature of gender, gender issue, issue in compute, compute steadfastly, steadfastly and uniformly, uniformly have advocate, recruit and retain, retain woman, model the literature
due to Caratheodory, Caratheodory to derive, generalize gaussian quadrature, generalize gaussian, family of gaussian - type, gaussian quadrature, introduce new family, weight integral, integration and interpolation, Gaussian, gaussian - type, application, function, application we introduce, application to integration
play for time, negative slant, delay in rolling, network across europe, Europe, play, time, slant, network, delay, roll, negative
