gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, quantum lattice gas, solve fluid dynamics, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, information processors communicating, lattice gas, communicating via classical, classical channels, fluid dynamics
Microsoft and IBM, boost integration Microsoft, IBM have announced, competitors' offerings, co-exist with competitors', Web services boost, services boost integration, database software co-exist, Microsoft, IBM, Web services, boost integration, software co-exist, announced products, offerings
North American carrier, North American, American carrier survey, Network Magazine carried, American, Network Magazine, North, dedicated Internet access, network engineers gave, Magazine carried, Ethernet services, Network, survey, carrier survey, Internet access
wireless mobile nodes, centralized administration, mobile nodes, capable of communicating, hoc network consists, mobile, network infrastructure, Routing, Routing security, wireless, security, MANETs, network, hoc, administration
Cooperative mutation based, continuous function optimization, based evolutionary programming, mutation based evolutionary, operator is presented, continuous function, function optimization, based evolutionary, mutation based, mutation operator, algorithm adapting, evolutionary, programming, optimization An evolutionary, programming for continuous
Reinventing broadband, broadband providers, broadband, approach, Reinventing, providers, change, video on demand, access and livelier, distinct content, fat-pipe superhighway, make broadband, future, tiered pricing, pricing to make
variable structure control, pole placement technique, flexible slider-crank mechanism, slider-crank mechanism system, Tracking control, structure control, flexible slider-crank, stabilizer design, flexible vibrations simultaneously, variable structure, pole placement, technique are applied, motor-controller flexible slider-crank, control, flexible
visible laser diode, laser diode Visible, diode Visible laser, etalon-stabilized visible laser, simple etalon-stabilized visible, visible laser, diode Visible, laser diode, metre range, coherence length, visible, constant operating temperature, laser, constant current bias, optical output power
optical communication systems, optical data storage, Polymeric microlenses play, reducing the size, optical data, storage and optical, fabricate polymeric microlenses, micromolding Polymeric microlenses, hemispherical shape, play an important, important role, role in reducing, data storage, microlenses play, cost of optical
asynchronous distributed systems, distributed systems, election problem, links are reliable, processes can crash, crash but links, election problem belongs, problem, class NFC, asynchronous, distributed, NFC, election, hardness, NF-completeness problems
conditioning market finds, air conditioning market, late nineties, lull at present, air conditioning, Market watch, boom period, market finds, watch, nineties, present, panicking, air, Market, boom
Halden Reactor Project, Halden Reactor, Reactor Project, Fuzzy business, Project has developed, Reactor, Halden, Project, investigate how signal, signal validation, thermal performance monitoring, performance monitoring techniques, Edan Engineering, EPRI and Edan, system
Computer aided classification, ultrasonic mammography Frequency, mammography Frequency compounding, ultrasonic B-mode images, Computer aided, aided classification, mammography Frequency, Frequency compounding, ultrasonic mammography, B-mode images, normalized Nakagami parameters, benign or malignant, compounding was recently, recently investigated, masses in ultrasonic
Financial Trading Platform, Equity Partners LLC, Macgregor Financial Trading, Chicago Equity Partners, Macgregor Chicago Equity, OMS battle heating, Trading Platform, Chicago Equity, Equity ousts LongView, Partners LLC, Financial Trading, OMS battle, Equity ousts, ousts LongView, full production
fault section estimation, on-line fault section, fault section, section estimation system, large-scale power networks, large-scale power, on-line fault, distributed intelligent fault, power networks, FSE, on-line distributed intelligent, original large-scale power, power, intelligent fault, FSE method
Delaunay triangulation, supports group applications, overlay, Delaunay, multicast supports group, Application-layer multicast supports, overlay network, network, triangulation overlays Application-layer, triangulation, supports group, overlays Application-layer multicast, protocol, Application-layer, network-layer multicast protocol
makes OpenMP execution, execution events visible, performance, OpenMP, MPI profiling interface, similar in spirit, paper proposes, visible to runtime, interface, OpenMP performance API, runtime performance tools, MPI profiling, OpenMP execution events, MPI, proposed OpenMP performance
High Performance Fortran, HPF Library, HPF Library consists, HPF, High Performance, language features, core language, Fortran, Library, language of HPF, High, language, functions, transformational functions, Library and Fortran
drug delivery makes, widespread application, application of ionic, microfluidic flow, development of muscle-like, muscle-like actuators, separation and drug, understand these materials, swelling, control of microfluidic, drug delivery, properly understand, hydrogel, pH-responsive hydrogels, ionic hydrogels
flexible manufacturing systems, manufacturing systems, Petri net scheduling, problem in Flexible, deadlock-free scheduling problem, Petri nets, timed Petri nets, Petri net model, systems, Sequential Systems, standard Petri net, Petri, flexible, manufacturing, paper addresses
Internet routing infrastructure, mass communication medium, Securing the Internet, Internet assuming, integrated communication infrastructure, Internet, networked systems, unprecedented growth, faster increase, users and networked, assuming its position, numbers of users, increasingly large number, networking infrastructure grows, single integrated communication
Disability-related special libraries, federal government works, fund disability-related information, Injury Resource Network, provide information resources, Brain Injury Resource, Western Oregon University, Oregon Brain Injury, disability-related information centers, Teaching Research Division, National Information Clearinghouse, Oregon University operates, information centers, fund disability-related, disabled individuals
intra-domain routing protocols, shortest path routing, Internet intra-domain routing, routing protocols, intra-domain routing, survivable classical, based on shortest, path routing, OSPF, RIP, shortest path, Internet, routing, Internet backbone, path
class hierarchy, idea of comparing, comparing objects, mixed-type comparison, class, hierarchy, objects, mixed-type, comparison, classes derived, base, idea, comparing, types, Implementing
downstream manufacturing processes, computer aided design, computer numerical control, numerical control milling, computer aided, manufacturing processes, aided design, manufacturing enterprise, newly designed part, design tool constrained, process-aware computer aided, constrained with explicit, key element, computer numerical, computer
specific generalized measurement, Quantum-controlled measurement device, programmable measurement device, perform a specific, specific generalized, measurement device, quantum device, measurements depending, program register, quantum state, quantum-state discrimination, quantum, device, measurement, device for quantum-state
optical fiber data, fiber data buses, original Manchester, Manchester II bi-phase, fiber data, data buses, Error-probability analysis, modulation schemes, bi-phase coding, PTMBC, error probabilities, fiber, optical, Manchester, data
conversations and notes, picture of business, CRM, notes of employees, firm create, create a wider, wider picture, Customer relationship management, feeds on data, Rise, supercompany, thoughts, conversations, business, Customer relationship
company burgeoning storage, Swamped by data, demand continued, continued to climb, plenty of players, offering solutions, company burgeoning, burgeoning storage, storage has plummeted, storage, Swamped, data, plummeted, cost of storage, cost
service operations strategy, Achieving competitive capabilities, knowledge-based competencies, Achieving competitive, knowledge-based, service operations, today knowledge-based economy, competencies, capabilities, e-service company knowledge-based, capital, Internet, e-service, Achieving, strategy
cutting tool affects, metal cutting, consistent material model, internally consistent material, model to determine, determine the effect, tool edge geometry, cutting tool, measured force, total measured force, tool affects, orthogonal machining, affects the forces, cutting, dwell force technique
mathematical systems characterized, elementary cellular automaton, characterized by discreteness, classes of mathematical, mathematical systems, systems characterized, cellular automaton rule, elementary cellular, Evolution complexity, Cellular automata, local interaction, cellular, temporal evolution orbits, Evolution, time
measures of concept, information systems, information, finite information system, systems, infinite information, rough set, finite, exact sets, rough set theory, rough, attributes, finite case, sets, exact
time domain criterion, perceptual time domain, biorthogonal linear-phase wavelet, image compression, linear-phase wavelet design, time domain, paper presents, perceptual image quality, perceptual time, image, Design, perceptual, high-performance wavelets, perceptual criterion, criterion
timed automata based, standard partitioning technique, timed automata, spaces preserving similarity, generate abstract state, abstract state spaces, state spaces preserving, automata based, paper presents, presents a modification, standard partitioning, technique to generate, Verification of timed, state spaces, abstract state
revealing ROI, business goals, critical part, develop metrics, achieve those business, Measuring return, measure systems, business, ROI, metrics, Measuring, revealing, goals, systems in terms, key metrics
supplying Web-based platforms, independent money managers, pick independent money, supplying Web-based, Web-based platforms, Separate accounts, accounts go mainstream, money managers, entrants are shaking, separate-account industry, industry by supplying, platforms that give, give advisers, advisers the tools, tools to pick
universal quantum gates, quantum computation based, achieve quantum computation, experimentally feasible scheme, quantum gates based, quantum gates, achieve quantum, computation based, propose an experimentally, feasible scheme, scheme to achieve, cyclic geometric phase, quantum, Implementation of universal, set of universal
open-source ROM monitor, ROM monitor, RedBoot ROM monitor, open-source ROM, flash-resident software program, embedded developers today, ROM, write access, processor registers, memory dumps, developers today, access to processor, RedBoot ROM, RedBoot, monitor
High-performance servo systems, servo systems based, period of plant, multirate sampling control, digital control systems, plant input, sampling period, multirate sampling, controller assures perfect, servo systems, systems based, output is restricted, proposed feedforward controller, controller assures, period
CMOS current mirrors, complementary MOSFET current, nonlinear performance, performance of CMOS, mismatch The nonlinear, CMOS current, Improved analysis, device mismatch, simple and complementary, mirrors are analyzed, mirrors with device, multisinusoidal input current, input current, nonlinear, performance
rack position control, fuel rack position, combined intelligent techniques, AGC for autonomous, intelligent load frequency, combined intelligent, autonomous power system, present work, developed to regulate, controlling the speed, fuel rack, load frequency controllers, intelligent load, work two intelligent, proposed controller
Common Communication Format, conversion of Common, raise and address, address a number, number of issues, issues pertaining, Format, CCF, records, Common, Communication, catalogue records, experimental approach, today library communities, global resource sharing
conservation laws Modern, laws Modern numerical, Modern numerical approximations, approximations of conservation, laws Modern, laws rely, continuous recovery, numerical, numerical dissipation, approximations, conservation, laws, Modern, filtering in numerical, rely on numerical
competitive environment effectively, competitive intelligence, information on competitors, outlines the processes, companies fail, fail to monitor, environment effectively, Barbie doll failed, competitors The author, author outlines, processes involved, competitive, intelligence, competitive environment, author discusses
continuous pole placement, pole placement method, delayed state feedback, linear time-delay systems, called the continuous, pole placement, state feedback, classical pole placement, pole placement algorithm, delayed state, continuous pole, numerical study Stabilization, linear time-delay, Michiels, numerical procedure
passively monitored data, lightweight QoS monitoring, QoS monitoring system, monitoring technique combining, QoS monitoring technique, technique combining passive, scalable and lightweight, QoS monitoring, CoMPACT monitor, monitored data, based passive, combining passive, lightweight QoS, make a scalable, monitor
National Design Repository, feature recognition algorithms, general-purpose feature detection, feature recognition, Theory and implementation, algorithms, general-purpose feature, feature detection, Design Repository, feature, National Design, feature detection techniques, Evaluation, faces, Evaluation of existing
positron emission tomography, emission tomography attenuation, tomography attenuation correction, positron emission, emission tomography, emission data, attenuation correction, Simultaneous iterative reconstruction, emission, attenuation, emission data improves, image reconstruction, data, reconstruction, log likelihood
cost Slow adoption, Wireless-retail financial services, cost Slow, retail investors, wireless applications, costly services, justify the cost, bankrupt vendors, vendors has prompted, prompted banks, banks and brokerage, brokerage firms, firms to turn, financial services, Slow
Decision scientists tend, people make decisions, Mustering motivation, studying how people, realization Decision scientists, motivation to enact, scientists tend, tend to focus, people make, decision process characteristics, decision process, decision, decision antecedents, enact decisions, process
layers poses significant, poses significant challenges, modelling processes Building, fused deposition modelling, material science, processes Building, Building up materials, heat transfer, applied mechanics, layers poses, transfer and applied, dimensional accuracy capability, deposition modelling processes, manufacturing processes, fused deposition
extended cardiovascular model, cardiovascular system, established based, consequences of physiological, cardiovascular, cardiovascular functional status, cardiovascular parameter variations, homeostatic functions, hypertensive situation, study the consequences, short-term regulation, study, previous work, physiological or pathological, study hemodynamic
venture capital firms, round of cash, capital firms, upheaval across telecom, telecom, prove-their long-term viability, investing in start-ups, cash, flesh, venture, dotcom frenzy, long-term viability, start-ups, round, upheaval
free-form bin packing, bin packing problem, bin packing, free-form bin, algorithm, basic placement algorithm, paper describes, describes a heuristic, problem, free-form, bins, scanline-based algorithm, heuristic algorithm, free-form items, packing
rise High, online content subscriptions, High, willingness to pay, free lunch, online content, user willingness, content, pay, free, time to pay, lunch, subscriptions, rise, determines
coordinate measuring machines, measuring machines Coordinate, machines Coordinate measuring, modem manufacturing industry, machines Coordinate, coordinate measuring, dynamic errors, measuring machines, Prediction and compensation, coordinate, widely utilized, modem manufacturing, CMMs, dynamic, errors
studying error propagation, autonomous finite automaton, input memory finite, finite automata, finite automaton component, finite automata introduced, memory finite automata, weakly invertible, Structure of weakly, error propagation, finite, studying error, generalization of input, input memory, automata
stable, omega, S-polygon, Mustafin-Poizat conjecture, superstabilizer, theory, stabilizer, proof, called an omega, monoid, conjecture, Mustafin-Poizat, polygons, called, regular monoid
Photographic Experts Group, Joint Photographic Experts, International Standards Organization, Experts Group, Joint Photographic, Standards Organization, International Standards, latest image compression, image compression standard, JPEG, Group, Organization, standard, interactive imaging, offer superior compression
cumulative distribution function, shrinking factor approximation, degrees of freedom, shrinking factor, distribution function, distribution, proposed for large, chi-square distribution, factor approximation, SFA, freedom, degrees, shrinking, factor, approximation
found that companies, AMR Research found, Expert advice, organisation take advantage, existing supplier relationships, AMR Research, jeopardising existing supplier, reverse auctions, existing supplier, jeopardising existing, reverse, suppliers, auctions, Expert, advice
weighted factors analysis, factors analysis Weighted, analysis Weighted factors, factors analysis, analysis Weighted, approach for elicitation, strategic level, weighted factors, high and strategic, WeFA, influence, factors, Binary WeFA, graph, analysis
morphology Level set, Level set methods, mathematical morphology Level, Level set, mathematicians for constructing, surface evolutions based, arbitrary topology, Topology-adaptive modeling, Level, evolution approach based, set methods, constructing a model, object, surface, surface evolution approach
electronic reserves Electronic, reserves Electronic reserves, barely ten years, electronic reserves, reserves Electronic, profession of Librarianship, reserves has existed, ten years, barely ten, history of electronic, library service, electronic, reserves, history, service for barely
seeks to add, noticeable low representation, computer science conferences, under-representation of women, numerous publications, lecture halls, survey The under-representation, received our attention, attention through numerous, noticeable low, low representation, science conferences, computer professionals, preliminary results, computer science
Car-caravan snaking, Active caravan braking, active braking system, part, active braking, Active caravan, Active, Car-caravan, design, suppress snaking vibrations, snaking, caravan braking, snaking vibrations, suppress snaking, braking system
Cornell University Library, University Library Gateway, case analysis method, digital library management, Cornell University, library management system, case analysis, University Library, emerging digital library, discusses the design, implementation and evolution, digital library, paper discusses, management system, Library Gateway
Web, surveys, polls, content, content managers miss, polls and surveys, online world, Web site, managers miss, miss the fundamental, fundamental interactivity, Web-speak, online, world, managers
large polychromatic stars, denote the largest, largest number, vertex is incident, number of colors, positive integer, colors, positive, Edge-colorings, denote, large, polychromatic, stars, graph, number
customer care Taking, care Taking care, CRM solutions banks, care Taking, Taking care, CRM solutions, recession fades, interest is picking, customer care, care of customers, rise and fall, fall and rise, significant retooling, rise, Taking
augmented spatial digital, spatial digital tree, existing spatial digital, digital tree-based contact, contact detection approaches, tree-based contact detection, alternating digital tree, digital tree algorithm, contact detection, digital tree, augmented spatial, computational mechanics Based, digital tree-based, ASDT algorithm adopts, ASDT algorithm
feedback wave viewpoint, feedback wave control, wave viewpoint, longitudinal vibrations, wave control strategies, noncollocated feedback wave, feedback wave, viewpoint The analysis, analysis and control, control of longitudinal, control, viewpoint are synthesized, analysis, longitudinal, viewpoint
design methodology based, asymptotically constant coefficients, asymptotically constant, control design methodology, fractional differentiation, constant coefficients, based on fractional, CRONE control, plants with asymptotically, time-variant plants, CRONE, plants, asymptotically, time-variant, Continuous time-variant plants
increased product quality, enhanced process integration, driving enhanced process, reduced pollution, reduced energy, product quality, large scale systems, increased product, energy and material, material consumption, consumption are driving, driving enhanced, process integration, scale systems, enhanced process
repetitive processes sharing, sharing common resources, concurrent repetitive processes, processes sharing common, concurrent repetitive, sharing common, paper presents, presents a method, method for design, common resources, system, stability of concurrent, processes, sharing, concurrent
entire economic relevance, Olympic Games, Games, worldwide audience, evolving which helped, helped shape, avenues for marketing, marketing and sponsorship, sponsorship which changed, changed the entire, entire economic, Online coverage, Olympic coverage, medium was evolving, medium
Secure Telephony Enabled, Telephony Enabled Middlebox, Enabled Middlebox Dynamic, Enabled Middlebox, Middlebox Dynamic applications, Secure Telephony, existing network infrastructure, allowing dynamic applications, Dynamic applications, wide acceptance, acceptance within enterprises, problems caused, Middlebox Dynamic, allowing dynamic, existing network
Center-crossing recurrent neural, neuron activation function, recurrent neural networks, recurrent neural, centers of symmetry, neuron intersect, neuron activation, center-crossing networks, evolution of rhythmic, rhythmic behavior, exact centers, function is centered, net inputs, neural networks, center-crossing networks significantly
variables, latent variables, spectral data, regression, predictors, PLS, models, latent, method, set, spectral, data, OLS, linear model linking, analysis
planar graphs, graphs that minimize, number of long-face, long-face cycles, minimize the number, problem of finding, Embeddings of planar, finding embeddings, number, graphs, planar, long-face, cycles, minimize, face cycles
describe parallel dynamic, parallel dynamic logic, charge sharing problem, exhibits high speed, High-speed CMOS circuits, describe parallel, sharing problem, dynamic logic, exhibits high, high speed, speed without charge, charge sharing, speed-enhanced skewed static, logic, PDL
popular parametric variation, smooth chaotic systems, parametric variation chaos, variation chaos control, variation and state, popular parametric, state feedback, study the popular, state-feedback methodologies, exist diffeomorphisms, chaos control, chaotic systems, smooth chaotic, discrete chaotic maps, variation chaos
information processing sensors, collision information processing, Smart collision information, processing sensors, Smart collision, fast moving objects, fast moving, objects, technical note, note we survey, survey the area, collision, fast moving physical, information, processing
Reaching strong consensus, Byzantine agreement problem, conventional distributed consensus, distributed consensus problem, strong consensus, Reaching strong, consensus problem, problem, consensus, general network, agreement problem, network, Byzantine, strong, fault-free processor
largest formaldehyde production, formaldehyde production plant, Chemical production, process control system, formaldehyde plant process, commissioned the largest, annual capacity, BASF commissioned, production plant, formaldehyde plant, plant process control, largest formaldehyde, control system, production, December
knowledge-based product design, plays an important, important role, role in building, building a knowledge-based, Knowledge organisation plays, product design, product design blackboard, blackboard, Knowledge, blackboard systems, graph decomposition, design blackboard, design, product
made great progress, Proteus Test, analysis Parallelizing compilers, data-flow analysis Parallelizing, made great, progress in recent, Test, Advanced Proteus Test, parallelizing compiler AFT, Proteus, analysis Parallelizing, Parallelizing, recent years, Run-time, Run-time data-flow analysis
intrinsic dimension, Estimating the intrinsic, fractal-based method, problem of estimating, dimension, intrinsic, Estimating, dimension of data, Grassberger-Procaccia algorithm, fractal-based approach, data, algorithm, fractal-based, paper, investigated
precise logical units, one-bit precise logical, precise answer, collectively compute, units to collectively, compute a precise, moderate-precision analog units, one-bit precise, analog, logical units, precise, computation, large complexity, hybrid, hybrid analog-digital scheme
format war rages, DVD format war, winner insight, DVD media manufacturers, medias res, DVD, war rages, DVD media, media manufacturers stand, res, making, insight, war abound, war, manufacturers stand poised
called ordered median, ordered median problems, ordered median function, ordered median, location theory, Algorithmic results, introduced and analyzed, called ordered, median problems, objective function, median function, common objective functions, objective function unifies, theory, results for ordered
Today North American, North American girls, computers Today North, Today North, North American, parents frequently regard, regard computer science, frequently regard computer, American girls, frequently regard, science and programming, regard computer, computer science, Girls, boys
redundant manipulators Redundant, manipulators Redundant manipulators, redundant manipulators, manipulators Redundant, Chaotic phenomena, presence of obstacles, resolution of singularities, phenomena and fractional-order, fractional-order dynamics, advantages when compared, compared with classical, free space, trajectory planning algorithms, trajectory optimization, kinematic control algorithms
decentralized integral controllability, term decentralized integral, stable independent detuning, stable decentralized controllers, integral controllability, stable decentralized, integral action, stable independent, closed-loop properties, decentralized, integral, DIC, controllability The term, existence of stable, controllability
designed to apply, control systems Presents, constraints including precedence, including precedence constraints, message-based scheduling method, distributed control systems, period and priority, systems Presents, general distributed control, including precedence, scheduling method, time constraints, constraints including, precedence constraints, control systems
Roman Poznanski, Discreteness and relevance, reply to Roman, reply to Poznanski, reply fail, Poznanski, Poznanski In reply, concerns voiced, fail to offer, idea that continuity, continuity is irrelevant, good understanding, understanding of cognitive, Eliasmith claims, voiced by Poznanski
rapid local area, construction automation Rapid, effectively plan, framework for rapid, rapid local, automation Rapid, local area, local area modeling, construction equipment operation, communicate operations, modeling, optimize equipment operations, rapid, significantly improve safety, construction
computer supported cooperative, supported cooperative working, cooperative working Researchers, CSCW case studies, computer supported, cooperative working, rich collection, collection of meta-analyses, information technologies, information systems, working Researchers, End-user perspectives, information systems research, factors influencing, uptake
implementing pipelined FIR, implementing pipelined finite-impulse, pipelined FIR ADF, pipelined finite-impulse response, FIR ADF based, adaptive digital filter, FIR ADF, transpose FIR ADF, maximum delay, post-downsampled FIR filter, architecture for implementing, adaptive digital, classification of coefficients, aim of reducing, portion of conventional
cubic Chua circuit, Chua circuit system, cubic Chua, Chua circuit, Sliding mode control, Sliding mode, Chua, cubic, system, Sliding, mode control, sliding surface, mode, circuit, steer Chua
Three-dimensional periodic Voronoi, modeling of microstructures, micromechanical FE-simulations, proposed for modeling, periodic Voronoi grain, Voronoi grain models, Voronoi, model, three-dimensional model, Voronoi grain, periodic, Voronoi cells, Voronoi algorithm, periodic boundary conditions, microstructures
describe fair layered, Proc. IEEE INFOCOM, fair layered increase, describe fair, congestion control, congestion, control, layered, San Francisco, fair layered, RLC, FLID-DL, Proc. IEEE, IEEE INFOCOM, layered multicast
Information Age interview, Credit card company, card company Capital, rapid customer growth, Information Age, Capital One Credit, Age interview, Credit card, CIO Catherine Doran, Capital One attributes, cutting-edge technology, European CIO Catherine, Catherine Doran talks, card company, attributes its rapid
chief rallies troops, research company Mori, highly qualified interim, manager enabled market, enabled market research, market research company, company Mori, Temp IT chief, rallies troops, chief rallies, highly qualified, interim IT manager, manager enabled, rapidly restructure, Mori to rapidly
Super high definition, high definition image, common high-vision images, Wide, Super high, Double, display projector, camera system imaging, transmission system constructed, paper describes, screen portions, portions of common, WHD image transmission, WHD, transmission system
binary decision diagrams, Efficient combinational verification, overlapping local BDDs, combines local BDDs, hash table, local BDDs, Efficient combinational, binary decision, methodology that combines, efficient verification, based verification methods, table We propose, verification, hash, Efficient
controlled boundary constraints, wedge strip test, sheet buckling subjected, Characterization of sheet, boundary constraints, subjected to controlled, wedge strip, designed to study, study the onset, onset and post-buckling, post-buckling behavior, strip test, sheet buckling, tensile test machine, controlled boundary
lack of information, dual differential game, natural continuous time, dual game introduced, continuous time version, game, repeated game, dual game, differential, differential game exists, continuous time, discrete time, Meyer, discrete time approximations, lack
odd number greater, finite simple groups, element orders, simple groups, Recognition of finite, class of finite-groups, greater than unity, odd number, finite simple, groups, element, orders, simple, recognizable, shown that simple
Electrical insulation plays, insulation Electrical insulation, winding insulation Electrical, past quarter century, operation of motor, plays a critical, critical role, motor and generator, generator winding insulation, insulation plays, past quarter, on-line insulation monitoring, motor, Electrical, stator winding monitoring
chunking Database broadcast, adaptive chunking Database, chunking Database, mobile environment based, Database broadcast, effective and scalable, disseminate information, information of high, large collection, broadcast, mobile clients, Database, data, mobile, collection of mobile
Long Island University, Island University Brooklyn, University Brooklyn campus, Brooklyn Campus Library, electronic reserves system, Long Island, Brooklyn campus, Campus Library, reserves system, model for choosing, explores the nature, investigates the possibilities, possibilities of implementing, pre-implementation study, study explores
gender-role influenced achievement, influenced achievement choice, reduce gender inequity, software design, gender bias, reviewing the work, gender-role influenced, achieve gender equity, achievement choice, bias in software, gender inequity, occupational equity, Gender, reduce gender, Eccles
nonlinear Boundary, BVMs Boundary, Boundary, Boundary Value Methods, nonlinear, Numerical approximation, BVPs, Boundary Value Problems, linear BVPs, approximation of nonlinear, linear, solving linear BVPs, Newton method, suitable candidates, Problems
happen as fast, tough sell Banks, general packet radio, banking tough sell, sell Banks, packet radio service, general packet, tough sell, put their mobile-commerce, mobile-commerce projects, projects on hold, packet radio, Mobile banking tough, GPRS phones, services usable
content management Predictions, content management, major industry prognosis, past two years, arena have appeared, future of content, content, management, vendor arena, Gartner Group, major industry, vendor, industry, reiterated its prediction, prediction that half
Hong Kong, construction industry, major industry, LAN-based building maintenance, building, robot, developed countries, building management system, management, management staff, LAN-based building, surveillance, industry, surveillance robot, manpower
point of view, massively complex electrical, electrical power system, complex electrical power, global geometric structure, power system, electrical power, six-dimensional dynamical system, ongoing project, stability of massively, massively complex, power system involving, system, dynamical system, power
network model, large-scale network model, model, cortical, firing rates, Drifting grating stimuli, reduction, cortical neuron, cortical maps, network, Coarse-grained reduction, spatially coarse-grained system, large-scale computational model, neuronal subpopulations, Drifting grating
autonomic computing, called self-managed computing, chosen by IBM, IBM to describe, reliable and problem-free, autonomic, called self-managed, describe the company, aimed at making, age computing, making computing, computing, initiative aimed, IBM, problem-free
Breast, model, Mammogram synthesis, mammographic imaging process, tissue, Breast tissue, acquisition, synthetic mammograms, image acquisition simulation, imaging process, simulation, process, mammogram acquisition model, Breast tissue model, X-ray image acquisition
Image reconstruction, fan-beam projections, short scan, scan This work, work is concerned, Image, reconstruction, fan-beam, projections, lines passing, reconstruction from fan-beam, passing, short, scan, work
hybrid active filter, active filter, hybrid active, filter, Analysis and operation, active, harmonic currents, adopted hybrid active, elimination This paper, paper presents, active filter topology, active filter consists, harmonic, harmonic elimination, pure active filters
web services agenda, web services, battle-scarred of CIOs, services, web, businesses, agenda, battle-scarred, CIOs, excited, prospect, addressed, shortcomings
Experiences creating budgets, large software projects, taught manufacturers, creating budgets, budgets for large, large software, money, Experiences, software, software project, project, business, creating, large, taught
Internet-related project financing, venture capital community, access portals Discusses, made life difficult, Discusses the factors, reassessment of Internet-related, multi access portals, recent years causing, media and technology, capital community, landscape for multi, multi access, made life, business models, consequent reassessment
bounds of libraries, longer confined, faculty must redefine, knowledge is released, academy As knowledge, academy, knowledge, Internet, Liberal studies, science and technology, embrace an emerging, libraries, education, certification, time
single-period projects, IRR criterion, IRR, internal rate, project, project investment rate, investment projects, investment, single-period, succeeding period, period, internal, return, rate of return, evaluate profitability
Moys Classification Scheme, well-established Moys Classification, addressing classification issues, classify, classification issues, classification, question, well-established Moys, suits the purpose, purpose and requirements, organisation they work, firm specialisations develop, user group, Scheme, Moys
global optimization procedure, neural-assisted genetic algorithm, genetic algorithm, introduce a global, Application of artificial, artificial intelligence, neural-assisted genetic, ANN, silicon clusters, artificial neural network, global optimization, search ground-state geometry, genetic, algorithm, search
detection technique based, nonlinear edge detection, nonlinear dual-window operator, Simple nonlinear dual-window, edge detection technique, edge detection, dual-window operator, Simple nonlinear, detection We propose, nonlinear edge, technique based, propose a nonlinear, detection, simple difference function, nonlinear
Constraint Satisfaction Problems, solving CSP, constraint propagation, Satisfaction Problems, constraint, search, CSP, Satisfaction, main families, conflict-based heuristics Search, Local search, heuristics Search algorithms, propagation and conflict-based, heuristics Search, Local
management strategies, set of management, efficiency and product, product quality, improve productivity, input-factor substitutability, automobile industry, world have adopted, effort to improve, JIT manufacturing environments, plant-level productivity, estimate variable cost, management, JIT, productivity and input-factor
visually impaired clients, establishing effective communication, visually impaired, impaired clients, clients This article, article guides, effective communication techniques, establishing effective, impaired consumers, impaired, Access to information, effective communication, Braille materials in-house, information for blind, effective voice
unifying co-operative Web, Web caching, Web, co-operative Web caching, Web caching architecture, co-operative Web, Web caches exhibit, reducing network traffic, hit rate, reducing network, caching, Network, architecture, traffic and latency, rate
successful technology deployment, Implementing, basic disciplines, key to successful, successful technology, technology deployment, disciplines, processes, key, successful, technology, deployment, found, set, basic
Cohen-Grossberg neural networks, globally asymptotic stability, neural networks, symmetry of interconnections, assuming monotonicity, monotonicity and differentiability, establish some sufficient, globally asymptotic, asymptotic stability, unique equilibrium, activation functions, networks Without assuming, network with multiple, sufficient conditions, multiple delays
pricing formulas based, Option pricing formulas, formulas based, financial instruments, instruments that depend, underlying stock, non-Gaussian stock price, Option pricing, stock, nonextensive thermodynamics parameter, Option, non-Gaussian fluctuations, non-Gaussian, stock price model, price model Options
asynchronous transfer mode, transfer mode networks, bit rate voice, transfer mode, bit rate, mode networks, adaptive available bit, article presents, methodology to analyze, rate service, service in asynchronous, rate, asynchronous, mode, transfer
digital age Listening, age Listening, popular with consumers, Merrill Lynch forecasts, increasingly popular, buying music online, Merrill Lynch, Copyright management, digital age, Listening, buying music, online music market, Lynch forecasts, online, music
implementing Boolean functions, trees implementing Boolean, Boolean functions, decision trees implementing, decision trees, representation of Boolean, Boolean, average depth, depth of decision, average time complexity, trees implementing, complexity of decision, decision, trees, functions The article
European fieldbus standard, constitute the European, European fieldbus, fieldbus standard, WorldFIP networks, profiles that constitute, WorldFIP protocol, approach The WorldFIP, WorldFIP, European, real-time traffic, traffic, integrated approach, periodic, process variables
model neurons driven, stochastic input Neurons, neurons driven, firing rate, average firing rate, correlation time, correlated stochastic input, synaptic inputs, stochastic input, input Neurons, neurons, firing, correlation time increases, model neurons, input
restoring handwritten archival, handwritten archival documents, reverse side caused, archival documents, Restoration of archival, interfering strokes, handwritten archival, reverse side, seeping of ink, technique This paper, paper addresses, addresses a problem, problem of restoring, restoring handwritten, recovering their contents
convex order, bivariate dependence, bivariate framework, extending some previous, investigate the interplay, previous results, order We investigate, convex, order, bivariate, dependence, discrete uniform distributions, central result, interplay between variability, result
electronic records project, Record makers, health records, electronic records, records project, Plans, makers, government, records, scheme really viable, health, massive, electronic, project, revealed
Cognitive Psychology, classicism explain universality, universality, classicism explain, explain universality, cognition, classical, human cognition, explain, pure classical component, arbitrary constituents, capacity, Psychology, classicism, component of mind
