crude oil, ocean saturday, alaska, cleanup effort, prince william sound, reef island, chief environmental officer, coast guard, mile long, gallon, wildlife - rich stretch, million, spawn area, slow, dennis kelso
british beef industry, mad cow, france, britain, friday, cattle, trade friction, health fear, disease, europe, bse, french, concern, west germany, scare
ben johnson, world record, athlete, carl lewis, vice president, illegal performance - enhance drug, time, seoul olympic, frank greenberg, canadian inquiry, steroid, dash, week, cassell, world championship
firefighter, blaze, lake elsinore, wednesday evening, authority, ortega, home, busy holiday, brady, fire, people, acre, structure, official, saturday morning
tetsuya theodore fujita, tornado, violent storm, twister, denver, low - pressure system, year, downburst, miniature version, university, microburst, time, thunderstorm, aircraft, foremost authority
public official, california, federal aid, law, senate, action, poor people, state, reapportionment, census, assemblyman peter chacon, illegal alien, house, democrat, congressional delegation
office, ventura county district attorney, anthony flores, separate incident, edward brodie, cornett, misdemeanor count, suspect, charge, complaint, gonzalez, luna, police, medical, private party
cripple united airlines dc-10, emergency landing wednesday afternoon, tail engine, complete hydraulic failure, runway, plane, board, half - mile short, sioux gateway airport, passenger, cartwheel fireball, crash, firm count, spokesman, piece
blood - red letter, sign, state legislature, nra, urgent, basic constitutional right, act, congress, time, customer, petition, hammer, well - organize, flock, year
hurricane chantal, texas, louisiana, wind, rain, coast monday, day, crew member, major flooding, water, morgan city, oil drilling work, high wave, storm, houston
fellow narcotic officer, los angeles international airport, clayton searle, joe morgan, muscular black man, passenger, police, likely companion, federal court, william barne, drug courier, major league baseball, flow, short, city
search crew, sunday, texas congressman mickey leland, plane, addis, day, ackerman, crash site, mile, helicopter, recovery team, wreckage, weather condition, discovery, area
nation, respiratory disease, lung, test, unseen hazard, microscopic particle, reaction, poisonous stew, woman, dangerous, impair, strong, soot, firefighter, cancer
freshman congressman larkin smith, light plane crash, r - miss, aviation accident, mississippi, sunday night, monday, house, harrison, authority, police chief, week, local official, second member, desoto national forest
city homefe half marathon, alphonce swai, fine, america, race, comeback bid, sunday, olympic, tanzania, alcoholism, kim jones, prey, goodwill game 10 - kilometer run, second, time
world bank, debt, major drain, cash - strap economy, new loan, sunday, figure, annual report, country, buoyant economic growth, current fiscal year, public, total, united states, brady plan
french dc-10 jetliner, high - altitude explosion, people, powerful, lebanon, wednesday, dulles international airport, france, washington, sheik, christian, remote desert region, time, anonymous caller, niger
ben johnson, new element, public, positive, pervasive skepticism, sport, exception, doubt, al franken, contradiction, people, high performance level, year, boast, italy
term, state legislator, member, interest, new candidate, hard, government, congress, term limitation, proposal, popular, contrary, influence, student, constitutional change
large immigrant population, census bureau, seat, senate, california, state, illegal alien, bush administration, legal limit, friday, federal aid, ban, senate - house conference committee, voice vote, blow
california, seat, people, new york, senate, congress, florida, number, addition, blow, action, pulido, bush, appropriation bill, basis
second amendment state, gun control law, federal government, merit, right, argument, arm, necessary, people, individual, security, word, national, power, cruikshank
state legislature, american politic, term, oklahoma voter, democratic president, temptation, vengeance, term limitation, number, state lawmaker, republicans, year, quack therapy, subsequent, adversary
diabetes, kidney, jaime davidson, actual people, los, interested physician, latino, year, ethnic group, habit, likely, abuelita, united states, doctor, blood pressure
tuberculosis, deadly infectious disease, world, united nations, people, year, immune system, number, individual, toll, effective drug, bloom, overall incidence, organism, case
county social service agency, illegal alien, resident, director, census, supervisor, count, thursday, federal revenue, actual population, board, resolution, effort, letter, house
term, negative, people, legislature, national conference, proposition, statewide officeholder, impact, special interest, term limit, california, official, end, year, initiative
race, marathon sunday, second, paul davy - hale, lisa weidenbach, man, woman, time, mile, windy weather, heat, runner, balmy, england, patient
jet trainer, aircraft carrier, navy, lexington, flight deck, crash, spokesman, train, sunday, naval education, pensacola, mark kasper, major damage, gulf, dennis hessler
guy zanti, marathon today, father, wife, washington, battleship wisconsin, naval officer, effort, land, water, middle east, interested, mile, train, ship
engineer, scientist, earth, chile, japanese scientist, massive plate, behavior, seismic country, earthquake, distinction, earth movement, information, host, president, long history
new york city marathon, grete waitz, winner, race, douglas wakiihuri, wanda panfil, juma ikangaa, woman, time, second, sunday, kenyan, mexico, poland, kim jones
english channel, side, saturday, graham fagg, french worker, philippe cozette, cheer, big engineering project, hand, tunnel, passage large, british, france, europe, england
caribbean, atlantic, low latitude, gulf, periodic west african drought, tropical disturbance, powerful punch, mexico, wind speed, western, gilbert, hugo, intense hurricane, future, gray
mexico city, ernesto beatriz, african mark plaatjes, mission bay, race, hometown, beatriz martinez, marie rollin, line, lead vehicle, mile, border town tijuana, maurilio castillo, doug kurtis, saturday night
johnson, brief race, slow start, positive test, record crowd, daron council, department, sheriff, north america, board track, country, europe, olympic, alachua county, journalist
severe fire, mount palomar area, california, risk, national guard equipment, oregon, firefighting, san diego, canyon, military reserve, wildfire, year, united states mainland, dead vegetation, december freeze
charlie francis, use, ben johnson, world record, federal inquiry, toronto, canadian national sprint coach, steroid, speed trap, fast man, performance - enhance drug, member, sport, olympic, athlete
60th boston marathon, race, johnny kelley, time, juma ikangaa, edition, story history, early speedster, sentimentalist, second, simon robert naali, olympic silver medalist, reckless speed duel, douglas wakiihuri, attrition
santa clara county police agency, suspect, officer, real case, bad public policy, law violation, numerous time, organizational attitude, code, injury, citizen, problem, macnamara, government, community
hispanic, exercise class, nutrition, effort, torre, state health department statistic, diabetes, food, danger, incidence, taste, term, education director, diabetic society, summer
fire protection, california department, brush, forestry, precaution, santa clara county, lisa boyd, heavy fuel, real good grass crop, rain, year, tree, firefighter, drought, home
chief election commissioner, new delhi, india, paramilitary force, gandhi, assassination scene, body, morning, scapegoat, military, red alert, seat, president, prime minister, street
airline seat, travel agent, mexico, eclipse, san jose, pamela, hotel reservation, rental car, hawaii, baja, moon, advance, sun, shadow, available
subsequent hurricane, miami, legendary storm, mph wind, city, weather computer, newspaper headline, florida key, year, scientist, past, low - lie metropolis, water, hour, hurricane specialist
statement, slovenia, election, croatia, day, serbia, plan, saturday evening, cease - fire, state, condition, political, yugoslavia, civilian commander, mesic
thomas, liberal faction, court, conservative, man, marshall, view, justice william brennan, confirmation process, abortion, position, roman catholic school, age, opposition, affirmative action
thomas, black political activist, white world, washington, security, grandparent, national television monday, individualism, paper, education, president reagan, self - sufficiency, mutual support, appeal, tough old man
nominee, thomas, senate judiciary committee, right, justice, confirmation, view, free ride, metzenbaum, abortion, specific case, nomination, ultimate question, box, supreme court
segregate black georgia, decade, life, toughening, civil right, southern poverty, thomas, hard - eyed grandfather, aggressive liberal agenda, scholarship, nun, father, band, affirmative action, personal strength
eclipse fan, big island, mexico, baja california, new york, sun, hawaii, japan, thousand, crowd cruise ship, tourist, permanent image, protection, pacific coast, californian
commission, panel report, gate, source, mayor tom bradley, los angeles times, officer, geoffrey taylor gibb, page, nightstick beat, scene, early incident, federal investigation, numerous instance, testimony
solar eclipse, astronomical observatory, moon, sun, shadow, earth line, baja california, path, mile wide, mountain, world, hawaii, chabot college astronomy professor, mexico city, large cluster
solar eclipse, orion telescope, way people, thursday, information, minolta planetarium, branham lane park, san jose astronomical association, call, golden state, student union, shadow, scott wiener, cupertino, hour
eclipse, low cloud cover, hawaii, big, sun, mexico, mauna loa, south kohala, cardboard, mountain view, discovery museum, dark, foothill observatory, funny mylar glass, year
eclipse, sun, san jose, special glass, shadow, permanent damage, prime time, moon, hawaii, overcast sky, morning fog, astronomer, bay area, dark, nature
los angeles police department, anti - abortion advocate, lawsuit, nunchakus, national movement, abortion facility, hundred, martial - art weapon, mid - june, operation rescue, motorist rodney king, compliance, excessive force, demonstrator, city
diabetes, mcnamara, hispanic, strong american indian ancestry, high - fat diet, percent, exercise, people, vulnerable, medication, general population, participant, overweight, way, obesity
thomas, protest lyric, racial anger, conservative supreme court, civil right act, friend, opportunism, story, senate judiciary committee, segregate savannah, road, legal education, dramatic political, singer - songwriter nina simone, homespun homily
clarence, religious right group, black, anti - cult activity, woman, skin color, comparable - worth legislation, clarence thomas, issue, lifespre, virginia thomas, government program, husband, court, critic
poor ventilation system, build, expert, tuberculosis, link, flu, recycle old, low level, end, nardell, measle, problem, massachusetts department, jon rosenberg, million
department policy, lack, unusual order, employee, investigation, level, community, civil right suit, large sheriff, block, criticism, aclu spokesman joe hicks, city, temporary delay, people
thomas, god bad, hometown crowd, anita hill, handwritten sign, home, abraham famble, birthplace, main thoroughfare, majority, attempt, cry, joy, allegation, heart
local firefighter, firestorm, hill, wake, two - lane road, home, firetruck, day, highway, wildfire, area, weak bridge, fuel, fire, fire - retardant roof
tour, close city, addition, celebration, runner, company, thorn gilligan, country, bermuda, unique subset, air fare, hotel, entry fee, moscow, president
welfare reform, president reagan, americans, governor, state, year, democrats, congress, plan, convincing message, immediate action, priority, poverty, idea, administration
welfare, nation, disagreement, white house, governor, train, washington, welfare reform, quarter, formula, kennedy, year, moynihan, plan, substantial number
bad diamond slump, 1930s, year, demise, rough - diamond price, prediction, de beer, petroleum export country, dealer, american couple, fall, carat, average, australia, zaire
poor farmer, community, murderous guerrilla, upper huallaga valley, army, late 1970, shine path, mountain, cacao, aucayacu, coffee, small town, emergency control, field, country
northwest airline jet, engine failure, sunday, people, year, past, crash, possible cause, passenger, turbine case, number, loss, incident, new rule, power
diamond price, cartel, mining analyst, london - base central selling organization, year, japanese import, carat, south african concern, member black african state producer, jacques zucker, muscle, retail trade, cutter, deep slump, diamond dealer
welfare system, house, investment, year, level, question, real decline, new spending, little evident return, tax dollar, american taxpayer, worse, representative, bill, problem
bank, decision, boston, asset, group, country, non - accrual basis, competitive advantage, significant domestic, nation, common equity asset, loan, additional provision necessary, yesterday, shrink balance sheet
drought, farmer, reagan administration, year, agriculture secretary richard lyng, loan problem, strong harvest, sioux fall, potential yield, worse, embargo, world market, county, fear, sale
world bank president barber conable, republican congressman, respect, journalist, increase, capitol hill, washington state, year, issue, strong asset, congress, office, enormous respect, side, aisle
ash - cover forest floor, nature, ground, plant specie, fire, scorch hillside, powder ash, area, donald despain, yellowstone, park, foot, bright yellow flame - retardant shirt, tree, firestorm
form, illegal immigrant, house, congressional reapportionment, census bureau, constitution, congress, amendment, question, california, federation, person, printer, people, legal status
incumbent, senate, unfair campaign finance law, late mailing, voter, congress, year, spirited competition, south dakotan, legislative arrogance, problem, gerrymander, challenger, election, political axiom
british industry, tunnel, britain, confederation, main employer, transport expert, spokeswoman, london, consortium, hour, northern england, eurotunnel plc, cost, total benefit, time
tunnel treaty, new concept, french worker, england, british terminal, big, toy, froggy, white cliff, margaret thatcher, dewy grass, man, ledge, foot wide, sign
path, military dictatorship, war, alberto fujimori, insurgency, peru, peruvian, liberal approach, systematic violation, emergency law, security matter, year, shine path, armed force, progress
tropical storm season, west african sahel region, weather researcher, average, summer, july, new finding, high rate, hurricane activity, right, year - to - year rainfall level, moisture, normal, wind, new
prediction, business, year, record, day, missouri, mississippi valley, time great, people, december, memphis company, thousand, quake, california, blytheville
sick sheep, tale, bizarre mystery, cannibal, cat, pennsylvanian, animal, medicine, big way, year, detection, disease, max, scrapie, medical sleuth
gun, criminal, important reason, handgun, constitutional right, police chief, issue, suicide, period, arm, education system, james forbes, life member, firearm, law - abide citizen
tuberculosis test, health department, treatment, program, infection, human resource administration, tb germ, tuberculosis prevention, staff member, control, new yorker, susceptible individual, city school, board, fraction
flight schedule, travel industry, average wind speed, crash, local news reporter, airline, area, passenger, plane, hour, sensitive time, people, federal aviation administration official, wind shear, colorado spring
boston marathon, year, runner, john adelbert kelley, race, time, mile, old competitor, hour, course, run, man, little hill, minute, cooper clinic
police chief, gang member, public statement, san jose, year, conflict, wrong, essential role, idealistic young people, nationality, special unit, neighborhood, odd, credibility, officer
enquirer, article, condition, miss taylor, good faith reliance, report, information, error, activity, june, hospital, iain calder, santa monica, inaccurate, actress
favorable credit rating, development, microloan, business, security, accion international spokeswoman gabriela romanow, micro - enterprise lending, year, green revolution, clutch, new york agency trickle, hot thing, microlende, group, poor entrepreneur

equal right, constitutional law, americans, judge, thomas aquina, actual victim, position, society, people, vision, black, martin luther king day, man, difference, problem
clarence thomas, heart, successful people, pro - abortion lobby, liberal, affirmative action, nun, leave, interest, love, mother, race, crack, live, confidence
slovene, slovenia, exchange, country, western europe, independence, yugoslavia, nation, people, picturesque alpine republic, considerable trade, european community, rest, tenuous peace, certain logic
chief gate, commission, report, community leader, recommendation, job, mayor, transition period, officer, monkey slapping time, year, future, resignation, tenure, widespread corruption
term limit, constitutional convention, year, member, florida, early civil - right bill, henry clay, daniel webster, republicans, good behavior, medicare, inducement, congress, long - stand, frequent re - election
electoral system, washington politician, public, politic, term, concern, average citizen, election, voter, lawmaker, government, powerful interest, term limit, congress, mean
state statute, first - time candidate, member, congress, registration fee, ballot box, fundamental right, constitution, tenure, fair electoral system, qualification, incumbent, office, argument friday, voter choice
term limit, liberal democrat, politic, career incumbent, idea, office, congress, author, washington state, reason, power, ideal public service, black, gop opponent, old - boy network
black people, state court, scott, gun, free territory, racist pronouncement, right, freedom, pre - civil war dictum, specific constitutional protection, slave, race relation, arm, second amendment, ground
united states, congress, right, member, arm, good clue, gun, army, people, phrase, debate, military service, author, conscientious objector clause, congressional committee
representative, legislator, well government, fresh face, washington, citizen congress, experience, 22nd amendment, interest, power, term limit, incumbent, desire, important characteristic, flow
congressional term limitation, congress, influence, opinion, economist, solid reason, politician, sun, office today, common sense, law, live, real world, rest, prospect
well - regulate militia, right, second amendment, necessary, arm, gun, religious reason, national guard, unfortunate today, original version, people, sufficient condition, history, military service, george mason
gun, right, second amendment, private use, constitution, dog, american citizen, national guard, total regulation, central issue, letter writer, point, arm, stagger bill, selective service
