gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, solve fluid dynamics, quantum lattice gas, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, algorithm Recent, information processors communicating, dynamics problems, lattice gas, communicating via classical
IKONOS satellite imagery, urban environments, Extracting straight road, fully automatic technique, IKONOS data, IKONOS satellite, multispectral IKONOS data, panchromatic IKONOS data, Extracting straight, satellite imagery, imagery We discuss, discuss a fully, fully automatic, IKONOS, urban
policy issues involved, oriented research Considerable, research Considerable attention, security issues, Considerable attention, recent years, end user oriented, policy issues, issues involved, technical and policy, research Considerable, user oriented research, issues, end user, user oriented
Multiple viewpoint models, system development, increasingly important, system development involves, consistency, viewpoint consistency Multiple, consistency Multiple viewpoint, Multiple, viewpoint, system, ODP, viewpoint models, development involves parallel, Multiple viewpoint, multiple views
hybrid systems, hybrid, systems, visual, HyCharts, modular visual formalisms, HyCharts Visual description, Visual description techniques, specification, design of hybrid, description techniques, discussed between engineers, engineers, visual specification, hybrid computation model
present experimental investigations, paper we present, present experimental, experimental investigations, smart materials, inflatable structures, vibration testing, inflated structures, structures, smart, testing, inflated, thin-film torus, ground vibration testing, inflated structures poses
flexible spacecraft attitude, spacecraft attitude control, spacecraft attitude, controller design method, flexible spacecraft, attitude control, design method, spacecraft, attitude, controller design, fractional-order controller, flexible, method for flexible, frequency, controller
Lob Theorem implies, Lob theorem, implies a limitation, Theorem implies, limitation on mechanism, Lob, theorem, limitation, mechanism, identifiable formal system, argue, observer, argue that Lob, version of Lob, human-like epistemic agents
moral matter, computing, issue surrounding under-representation, matter, diversity, moral, diversity in computing, overt, consideration the subtleties, issue surrounding, surrounding under-representation, discrimination, computing a moral, ethical, profession
multiple range maps, range data Describes, noisy range measurements, dense range data, noisy range, noisy range data, data Describes, points of view, maximum-likelihood surface estimator, dense range, dense sets, multiple range, range maps, range measurements, range
neurons Cortical neurons, continuous bombardment due, neurons Cortical, Cortical neurons, decay time constant, time constant, vivo undergo, undergo a continuous, continuous bombardment, major source, synaptic time constant, synaptic decay time, time, synaptic, synaptic activity
motion vector, motion vector estimation, transient elastography, Ultrafast compound imaging, paper describes, high frame rate, imaging, motion, vector, vector estimation, Ultrafast compound, transient, elastography, compound imaging, high frame
deterministic service times, discrete-time multiserver queue, service times, correlated arrivals, Waiting-time distribution, arrivals and deterministic, discrete-time multiserver, multiserver queue, deterministic service, system We derive, distribution, Waiting-time, times, derive the waiting-time, discrete-time
computing, Women, work, reasons, Career, professional computing careers, brings, substantive reasons, careers, working, women working, professional computing, common, computing careers, Common reasons
large-scale central generators, electricity grid networks, control grid node, grid connected wind, grid node voltage, connected wind turbines, Voltage control methods, grid node, large-scale central, central generators, wind turbines, Voltage control, control, grid connected, electricity grid
computer science, report is pipeline, pipeline shrinkage, computer, women, shrinkage for women, computer scientist, science, women faculty members, scientist The focus, problems, women faculty, focus, report, pipeline
ordinary differential equations, standard numerical methods, called interval methods, Compared to standard, validated methods, ODEs Compared, IVPs for ODEs, recent advances, interval Taylor series, differential equations, important advantages, methods for IVPs, methods, standard numerical, ordinary differential
discontinuous Galerkin finite, Galerkin finite element, transient wave propagation, discontinuous Galerkin method, discontinuous Galerkin, wave propagation, Galerkin finite, finite element method, transient analysis, transient wave, absorbing boundary condition, Galerkin method, Galerkin, unbounded domains, domains A technique
prescription drug, troubleshooting sheet, DVD drive, handle DVD problems, Microsoft Word, dosage instructions, multichannel publishing, nowadays demand access, DVD problems, automate multichannel publishing, possibly RTF, multiple devices-the material, Word or WordPerfect, enabler of multichannel, dosage levels change
Adaptive wavelet methods, wavelet methods, Adaptive wavelet, Adaptive, systems of operator, operator equations, infinite system, equations, method developed previously, developed previously, system of equations, wavelet, adaptive wavelet-based method, systems, system
PWM voltage-source inverters, stator field-oriented control, stator field-oriented doubly-fed, field-oriented doubly-fed asynchronous, doubly-fed asynchronous motor, asynchronous motor drive, wound-rotor asynchronous motor, Sugeno fuzzy-logic controller, stator field-oriented, asynchronous motor, PWM voltage-source, field-oriented control, field-oriented doubly-fed, doubly-fed asynchronous, motor drive
transactional asynchronous replication, mobility of users, mobile database systems, asynchronous replication scheme, transactional asynchronous, significant impact, impact on data, mobile database, database systems, TLRSP, database, database replication scheme, TLRSP model, mobile, asynchronous replication
outer automorphism group, arbitrary natural number, natural number coprime, automorphism group, free group, Embedding the outer, outer automorphism, arbitrary natural, natural number, number coprime, group, group of rank, Embedding, outer, automorphism
paired comparison data, paired comparison, explicit assumption, paired comparison studies, comparison data, data a log-linear, log-linear approach, judge, judges are independent, decisions, assumption, paired, Modelling, dependencies, judge chooses
satisfy users' changing, providing the modified, paper shows, satisfy users', users' changing, changing and specific, specific information, facts catalogue, facts, Acts, Acts to facts, modified, catalogue, paper, shows
class association rule, association rule set, complete class association, optimal class association, class association, association rule, rule set, complete class, optimal class, predictive association rules, association, minimum rule set, mining predictive association, class, rule
uncalibrated-camera optical flow, optical flow observed, optical flow, unknown focal length, uncalibrated-camera optical, reliability evaluation, reconstruction from uncalibrated-camera, evaluation We present, present a scheme, scheme for reconstructing, statistically optimal, structure from optical, computed shape, focal length, unknown focal
agent-mediated electronic commerce, electronic commerce, e-commerce, Agents, state, art, surveys the state, agent-mediated electronic, agent-mediated e-commerce, paper surveys, agent-mediated, art This paper, brokering, commerce, product brokering
functions, multiplication, Approximation, rational, integration, addition, Approximation and complexity, construct functions, construct, complexity, Pfaffian functions, Pfaffian, ring of Pfaffian, Iterated integration, Iterated
mobile environments Mobile, Mobile location-dependent information, environments Mobile location-dependent, location-dependent information services, mobile environments, environments Mobile, information services, recent years, Mobile location-dependent, mobile, increasingly popular, popular in recent, Cache invalidation, Cache, location-dependent
alloy actuators Describes, shape memory alloy, Describes the development, embedded shape memory, memory alloy actuators, actuators Describes, active robot hand, active robot finger, shape memory, memory alloy, robot hand, active robot, fine manipulations, wire actuator embedded, smooth and lifelike
future directions Interest, future directions, traced back, Flow measurement, early studies, directions Interest, measurement, Egyptians, Romans, Flow, Chinese, back to early, early times, flow of liquids, Interest
early student years, computing shrinks dramatically, women in computing, pipeline shrinkage problem, National Science Foundation, women, student years, working years, shrinkage problem, well-known and documented, documented phenomenon, men involved, shrinks dramatically, dramatically from early, early student
differential algebraic equations, partial differential algebraic, include nonlinear terms, quasi-linear type, convection type, numerical solution, algebraic equations, index is considered, class of partial, partial differential, differential algebraic, include nonlinear, nonlinear terms, possibility to determine, determine a time
ever-more important area, wizard idea, work for brokers, technology is set, ever-more important, important area, area of work, Internet in finance, Lawrie Holmes, Internet, idea, finance, brokers, wizard, technology
private pipes, pipes for electronic, United States military, electronic media, Net, United States, WAM, intelligent workflow, version of FedEx, workflow, Uncle Sam, digital version, offer storage, storage and intelligent, States military
Internet and Web, Internet-based intelligent design, Internet-based intelligent, rolling bearings based, rolling element bearings, intelligent agile design, intelligent design support, Web-based design support, rolling element, artificial intelligence, agile design system, Web technologies, intelligent agile, design support system, paper presents
voltage collapse analysis, Critical lines identification, voltage collapse, collapse analysis, identification on voltage, voltage collapse prevention, lines identification, voltage, collapse, Southeastern Brazilian systems, Critical lines, identification, system critical, paper deals, analysis
Quasi stage order, stage order conditions, stage order, order conditions, stage order greater, Quasi stage, designing a Runge-Kutta, order, SDIRK methods, simplifying assumption, assumption that reduces, reduces the number, fulfilled when designing, introduce quasi stage, stage
artificial neural networks, Hierarchical neuro-fuzzy quadtree, models Hybrid neuro-fuzzy, hybrid neuro-fuzzy model, quadtree models Hybrid, neuro-fuzzy quadtree models, Hybrid neuro-fuzzy systems, Hybrid neuro-fuzzy, named hierarchical neuro-fuzzy, neuro-fuzzy quadtree, Hierarchical neuro-fuzzy, past few years, attractive combination, capacity of artificial, artificial neural
zero-inflated Poisson regression, zero-inflated Poisson, zero-inflated Poisson models, Poisson regression, Poisson regression model, standard Poisson regression, situations count data, Poisson, score test, count data, test, Poisson models, standard Poisson, large proportion, van den Broek
complex challenge, application servers, Application foundations, changing role, servers means choosing, Application, servers, role of application, foundations, challenge, changing, role, choosing, platform, complex
collaborative work support, work support systems, perspective Collaborative work, Collaborative work processes, configuration perspective Collaborative, compromise is required, processes usually raise, raise a lot, lot of intricate, intricate debates, debates and negotiations, achieving consensus, consensus and compromise, collaborative work, collaborative work environment
MPEG stream, quantization parameter, reduced by optimally, optimally selecting, times the quantization, parameter, selecting the quantization, MPEG transcoding, requantization parameters larger, transcoding, MPEG, stream, requantization parameters, requantization, optimization method
composite adaptive rectangular, adaptive rectangular structure, Heaviside function, composite adaptive, bonded piezoelectric actuators, adaptive rectangular, Dirac distribution, adopted structure model, rectangular structure, actuators and sensors, Heaviside, analytical model, mathematical model, bonded piezoelectric, piezoelectric actuators
Active vibration control, Active vibration, piezolaminated smart beams, actuator layers bonded, distributed piezoelectric sensor, vibration control, piezolaminated smart, paper deals, structures with distributed, bonded on top, top and bottom, bottom surfaces, sensor and actuator, piezoelectric sensor, actuator layers
wavefront propagation principle, propagation algorithm Presents, wavefront propagation algorithm, quantitative coronary artery, wavefront propagation, X-ray angiograms, coronary artery analysis, propagation principle, algorithm Presents, developed in order, quantitative coronary, coronary artery, reduce the variability, propagation algorithm, wavepath algorithm improves
Optimal bandwidth utilization, set of communication, sharing an edge, edge receive, Optimal bandwidth, converter, wavelength converter, all-optical ring, wavelength, communication paths, paths sharing, all-optical ring hosts, all-optical, node, optical bandwidth efficiently
Friedberg, n-computably enumerable sets, Friedberg numberings, family, families of n-computably, sets, n-computably enumerable, establish a number, numbering, families, infinite family, exists, Friedberg famous, Friedberg famous theorem, numberings
displacement ventilation systems, volumetric air supply, air supply rate, ventilation systems, Raising the volumetric, displacement ventilation, Michael Swainson explore, volumetric air, air supply, supply rate, increasing the cooling, cooling capacity, capacity of displacement, systems, Butler and Michael
recursively saturated system, orders Admissible sets, linear orders Admissible, orders Admissible, saturated system, form HYP, Admissible sets, HYP, recursively saturated, form Sigma, admissible families, Sigma, admissible, linear orders, sets in HYP
square lattice architecture, parallel computer networks, Self-organized critical traffic, Self-organized critical, square lattice, lattice architecture, parallel computer, computer networks, analysed the dynamics, recent paper, critical traffic, traffic flow, traffic, Self-organized, simple
one-way avoidance experiment, learned avoidance behavior, learned avoidance, one-way avoidance, avoidance experiment, computational model, present a computational, instrumentally conditioned components, avoidance behavior, avoidance, classically conditioned component, model of learned, conditioned components, classically conditioned, computational
active vibration control, investigated experimentally, piezoelectric actuators, neural networks, investigation of active, smart structures, structures is investigated, vibration control, active vibration, control of smart, identification and control, Experimental investigation, control, neural, networks
exponentially decaying sinusoids, purely exponentially decaying, Voigt profiles-a modified, profiles-a modified Simplex, modified Simplex approach, temporal domain, Study of ambiguities, pulsed spectrometries, decaying sinusoids, temporal transients, Voigt profiles-a, Mead Simplex method, ambiguities inherent, spectral analysis, approach In pulsed
dynamic business environment, technology-intensive business environment, today technology-intensive business, progressive companies remain, companies remain alert, business environment, end users, dynamic business, technology-intensive business, progressive companies, technology end users, increasingly important, important in today, today technology-intensive, companies remain
FIFO queue class, performance evaluation, time warp method, time warp, parallel discrete simulations, FIFO queue, queue class library, discrete simulations based, interface employed, data structures, class library, authors describe, employed for queuing, parallel discrete, queue class
Infrared-image classification, target, hidden Markov, visible target subcomponents, generally characterized, target subcomponents, hidden Markov trees, three-dimensional target, visible target, pose, Markov, image, contiguous target-sensor orientations, target pose, variable pose
Common Picture Exchange, photofinishing market, Picture Exchange environment, CPXe save, save the photofinishing, Common Picture, Picture Exchange, Exchange environment, proposed the Common, market, CPXe, save, photofinishing, sell digital-photo prints, Internet to sell
radiofrequency echo signal, echographic radiofrequency signals, echographic radiofrequency, platform, processing, real-time processing, software platform, Hardware, analog front-end hardware, Hardware and software, software signal processing, powerful echographic system, radiofrequency echo, real-time, radiofrequency
Cheng and Kleijnen, independent variables Cheng, general regression metamodel, variables Cheng, queuing system, modelling the output, Kleijnen, general regression, regression metamodel, Cheng, independent variables, metamodel for modelling, metamodel, Optimal allocation, simulation metamodel
continued fraction expansions, analogue circuits, implementing fractional-order controllers, continued fraction, fraction expansions, Analogue realizations, implementing fractional-order, suggested approach, design of analogue, Analogue, fractional-order controllers, fraction, approach, negative impedance converters, continued
atomistic information Fred, information Fred Dretske, Language of Thought, Fred Dretske, Dretske and Jerry, Jerry Fodor, information Fred, philosophy of mind, responsible for popularizing, popularizing three well-known, contemporary philosophy, language and atomistic, language, LOT, Information-Based Semantics
Deals with analysis, elementary nets Deals, elementary Petri nets, nets Deals, Petri nets, elementary Petri, conflict-free fair run, respect to possibilities, possibilities of avoiding, avoiding conflicts, net, totally conflict-avoidable net, Deals, Petri, totally conflict-avoidable
interval parameters, polynomials, characteristic polynomials, interval, Stability, conditions, monotonicity, polynomials whose coefficients, coefficients are polynomials, polynomials of interval, parameters, coefficients, stability conditions, Stability analysis, characteristic
graphics hardware solves, rendering problems, graphics hardware, hardware solves, solves a range, thinking on rendering, range of rendering, problems, rendering, thinking, graphics, hardware, solves, range
large causal model, categorical variables, applied to recursive, large causal, recursive models, causal model, applied, categorical, variables, estimates, initials, Calibrated, Calibrated initials, models of categorical, initial
VPP Fortran, global MHD simulation, Three-dimensional global MHD, HPF MHD code, Earth magnetosphere, MHD simulation code, VPP, global MHD, MHD simulation, MHD, Fortran, HPF MHD, MHD code, HPF, vector-parallel supercomputer
additive cellular automata, cellular automata Finite, Finite additive cellular, automata Finite additive, periodic boundary conditions, additive cellular, cellular automata, automata Finite, Finite additive, pattern spaces, fixed and periodic, periodic boundary, boundary conditions, conditions are considered, automata with fixed
fully entangled fraction, relevant experimental quantities, entanglement applications Characterizing, applications Characterizing entanglement, fully entangled, qubit pure state, entangled fraction, Characterizing entanglement, applications Characterizing, hard problem, understanding the relevant, relevant experimental, experimental quantities, local unitary operations, pure state
high-resolution high-frequency monolithic, high-frequency monolithic top-shooting, monolithic top-shooting microinjector, entails superior droplet, top-shooting microinjector free, Introduces an innovative, superior droplet ejection, droplet ejection characteristics, eliminate satellite droplets, innovative microinjector design, high-frequency monolithic, monolithic top-shooting, model Introduces, satellite droplets, high-resolution high-frequency
asynchronous transfer mode, transmission control protocol, explicit congestion notification, TCP congestion control, congestion control mechanisms, TCP explicit congestion, congestion notification, ATM network edge, transfer mode, TCP ECN achieves, study The enhancement, enhancement of transmission, asynchronous transfer, TCP, control protocol
hierarchical fuzzy system, special hierarchical fuzzy, hierarchical fuzzy, fuzzy rules, fuzzy system, special hierarchical, fewer fuzzy rules, previous layer, current layer, fuzzy, centralized fuzzy system, paper presents, presents a special, complete fuzzy sets, Universal approximation
Markov process simulation, efficient simulation estimators, reduction in Markov, Markov process, analytical or numerical, numerical approximations, approximations should enable, enable more efficient, Knowledge, variance reduction, Markov, Approximating martingales, process simulation, efficient simulation, simulation estimators
security property, flow of information, non-interference property, timed automata, concurrent systems, property of concurrent, levels of security, timed, property, security, non-interference, notion, timed non-interference, automata, automata based approach
unknown time delay, linear continuous uncertain, real physical systems, continuous uncertain state, uncertain state delayed, unknown time, state-delayed time, linear continuous, real physical, state delayed systems, Robust output-feedback control, time delay, continuous uncertain, delayed systems, physical systems
neural network analysis, matrix-assisted laser desorption, neural networks, spectrometry with neural, wheat variety classification, spectra processing prior, mass spectrometry, network analysis, laser desorption, Variety identification, variety classification, mass spectra processing, neural, processing prior, analysis The performance
Earth observation missions, images Earth observation, exploiting remotely sensed, sensing images Earth, Earth observation, remotely sensed data, images Earth, growing interest, electronic delivery, observation missions, missions have recently, recently attracted, attracted a growing, large number, capable of exploiting
shops Batch servicing, benefiting from economies, economies of scale, manufacturing operations, batch, batch servers, Batch servicing, flow shops Batch, Adaptive scheduling, batch stage, stage, flow shops, scheduling, shop, flow
Monaco Software adds, newest profiling program, Monaco Software, program from Monaco, Software adds, valuable features, digital cameras, fine-tuning of black, profile transforms, adds some valuable, black generation, generation and tweaking, tweaking of profile, newest profiling, profiling program
nonlinear ink-mixing behavior, printer color management, color management Color, management Color management, color management, CMYK color conversion, challenging task, due primarily, printer color, printing of digital, primarily to nonlinear, nonlinear ink-mixing, ink-mixing behavior, presence of redundant, redundant solutions
Microsoft and IBM, boost integration Microsoft, IBM have announced, competitors' offerings, integration Microsoft, Web services boost, co-exist with competitors', services boost integration, Web services, database software co-exist, Microsoft, IBM, services boost, boost integration, announced products
North American carrier, North American, American carrier survey, American carrier, Network Magazine carried, American, Network Magazine, North, Network Magazine asked, dedicated Internet access, network engineers gave, Magazine carried, Ethernet services, Network, survey
wireless mobile nodes, centralized administration, mobile nodes, capable of communicating, hoc network consists, wireless mobile, mobile, Routing security, Routing, wireless, network consists, network infrastructure, security, MANETs, hoc
Cooperative mutation based, based evolutionary programming, continuous function optimization, mutation based evolutionary, evolutionary programming, operator is presented, Cooperative mutation, based evolutionary, continuous function, function optimization, mutation based, mutation operator, algorithm adapting, evolutionary, programming
Reinventing broadband, broadband providers, broadband, Reinventing, approach, providers, change, video on demand, make broadband, access and livelier, distinct content, fat-pipe superhighway, future, tiered pricing, pricing to make
variable structure control, flexible slider-crank mechanism, pole placement technique, slider-crank mechanism system, Tracking control, flexible slider-crank, structure control, stabilizer design, slider-crank mechanism, motor-controller flexible slider-crank, flexible vibrations simultaneously, variable structure, pole placement, placement technique, technique are applied
diode Visible laser, visible laser diode, laser diode Visible, etalon-stabilized visible laser, simple etalon-stabilized visible, visible laser, diode Visible, laser diode, etalon-stabilized visible, metre range, coherence length, visible, simple etalon-stabilized, laser, constant operating temperature
optical communication systems, optical data storage, Polymeric microlenses play, Polymeric microlenses, fabricate polymeric microlenses, micromolding Polymeric microlenses, reducing the size, communication systems, optical data, optical communication, hemispherical shape, play an important, important role, role in reducing, data storage
asynchronous distributed systems, asynchronous distributed, distributed systems, election problem, links are reliable, processes can crash, crash but links, election problem belongs, class NFC, asynchronous, distributed, problem, NFC, election, problems
conditioning market finds, air conditioning market, late nineties, lull at present, air conditioning, Market watch, boom period, market finds, conditioning market, air, conditioning, watch, nineties, present, panicking
Halden Reactor Project, Halden Reactor, Reactor Project, Reactor, Fuzzy business, Project has developed, Halden, Project, investigate how signal, signal validation, thermal performance monitoring, performance monitoring techniques, performance monitoring, Edan Engineering, system
Computer aided classification, ultrasonic mammography Frequency, mammography Frequency compounding, ultrasonic B-mode images, Computer aided, ultrasonic B-mode, aided classification, mammography Frequency, Frequency compounding, ultrasonic mammography, B-mode images, normalized Nakagami parameters, benign or malignant, compounding was recently, recently investigated
Financial Trading Platform, Equity Partners LLC, Chicago Equity Partners, Macgregor Financial Trading, Macgregor Chicago Equity, Chicago Equity ousts, OMS battle heating, Chicago Equity, Equity ousts LongView, Trading Platform, Partners LLC, Financial Trading, Equity Partners, Macgregor Financial, Macgregor Chicago
fault section estimation, on-line fault section, large-scale power networks, intelligent fault section, section estimation system, fault section, section estimation, large-scale power, power networks, distributed intelligent fault, on-line fault, on-line distributed intelligent, original large-scale power, distributed intelligent, distributed intelligent FSE
Delaunay triangulation, Delaunay triangulation overlays, overlay network, overlay, Delaunay, supports group applications, triangulation overlays Application-layer, multicast supports group, Application-layer multicast supports, network, triangulation overlay networks, overlays Application-layer multicast, triangulation, called Delaunay triangulation, constructs Delaunay triangulation
makes OpenMP execution, execution events visible, MPI profiling interface, OpenMP, performance, similar in spirit, paper proposes, visible to runtime, interface, OpenMP performance API, MPI profiling, OpenMP performance interface, runtime performance tools, OpenMP execution events, OpenMP performance
High Performance Fortran, HPF Library, HPF Library consists, HPF, Performance Fortran, Fortran, High Performance, language features, core language, Library, High, language of HPF, language, transformational functions, functions
drug delivery makes, widespread application, microfluidic flow, development of muscle-like, muscle-like actuators, separation and drug, understand these materials, swelling, control of microfluidic, drug delivery, delivery makes, properly understand, hydrogel, pH-responsive hydrogels, ionic hydrogels
flexible manufacturing systems, flexible manufacturing, manufacturing systems, Petri net scheduling, problem in Flexible, deadlock-free scheduling problem, Petri nets, Petri net, timed Petri nets, Petri net model, Deadlock-free scheduling, standard Petri net, systems, deadlock-free scheduling algorithm, Sequential Systems
Internet routing infrastructure, mass communication medium, Securing the Internet, Internet assuming, Internet, integrated communication infrastructure, Internet routing, networked systems, unprecedented growth, faster increase, users and networked, assuming its position, routing infrastructure, numbers of users, communication medium
Disability-related special libraries, federal government works, fund disability-related information, provide information resources, Injury Resource Network, Brain Injury Resource, disability-related information centers, Western Oregon University, Oregon Brain Injury, Teaching Research Division, National Information Clearinghouse, Oregon University operates, information centers, Disability-related special, fund disability-related
intra-domain routing protocols, shortest path routing, Internet intra-domain routing, routing protocols, intra-domain routing, survivable classical, based on shortest, path routing, shortest path, OSPF, RIP, Internet intra-domain, Internet, routing, Internet backbone
class hierarchy, idea of comparing, mixed-type comparison, class, comparing objects, hierarchy, objects, mixed-type, comparison, classes, base, classes derived, idea, comparing, types
downstream manufacturing processes, computer aided design, computer numerical control, numerical control milling, computer aided, aided design, manufacturing processes, design tool constrained, manufacturing enterprise, downstream manufacturing, newly designed part, process-aware computer aided, aided design tool, constrained with explicit, key element
specific generalized measurement, Quantum-controlled measurement device, programmable measurement device, perform a specific, specific generalized, measurement device, Quantum-controlled measurement, quantum device, measurement device serves, generalized measurement, measurements depending, quantum state, program register, quantum-state discrimination, quantum
optical fiber data, fiber data buses, original Manchester, fiber data, Manchester II bi-phase, optical fiber, data buses, Error-probability analysis, modulation schemes, bi-phase coding, error probabilities, PTMBC, fiber, data, Manchester
conversations and notes, picture of business, CRM, notes of employees, firm create, create a wider, wider picture, Customer relationship management, feeds on data, Rise, supercompany, thoughts, conversations, business, Customer relationship
company burgeoning storage, Swamped by data, demand continued, continued to climb, plenty of players, offering solutions, company burgeoning, burgeoning storage, storage has plummeted, storage, Swamped, data, plummeted, cost of storage, cost
service operations strategy, operations strategy, Achieving competitive capabilities, knowledge-based competencies, Achieving competitive, knowledge-based, today knowledge-based economy, e-service company knowledge-based, competitive capabilities, service operations, competencies, capabilities, Internet, company knowledge-based competencies, capital
cutting tool affects, metal cutting, consistent material model, internally consistent material, model to determine, determine the effect, tool edge geometry, edge geometry, cutting tool, measured force, total measured force, orthogonal machining, tool affects, edge geometry modifies, cutting
mathematical systems characterized, elementary cellular automaton, characterized by discreteness, classes of mathematical, mathematical systems, systems characterized, elementary cellular, cellular automaton rule, cellular automaton, Cellular automata, Evolution complexity, cellular, local interaction, time, determinism
information systems, finite information system, information, infinite information systems, large information systems, finite information, systems, system, infinite information, rough set, finite, rough set theory, exact sets, rough, attributes
time domain criterion, perceptual time domain, biorthogonal linear-phase wavelet, image compression, linear-phase wavelet design, time domain, paper presents, biorthogonal linear-phase, perceptual image quality, domain criterion, image, perceptual time, Design, perceptual, perceptual image
timed automata based, timed automata, standard partitioning technique, spaces preserving similarity, generate abstract state, state spaces preserving, abstract state spaces, automata based, preserving similarity, paper presents, presents a modification, standard partitioning, partitioning technique, technique to generate, generate abstract
revealing ROI, business goals, critical part, develop metrics, achieve those business, Measuring return, measure systems, business, ROI, metrics, Measuring, revealing, odyssey, goals, systems in terms
supplying Web-based platforms, independent money managers, pick independent money, supplying Web-based, Web-based platforms, Separate accounts, accounts go mainstream, money managers, entrants are shaking, separate-account industry, industry by supplying, platforms that give, give advisers, advisers the tools, tools to pick
universal quantum gates, quantum computation based, achieve quantum computation, experimentally feasible scheme, quantum gates based, universal quantum, quantum gates, cyclic geometric phase, achieve quantum, quantum computation, computation based, Implementation of universal, set of universal, propose an experimentally, experimentally feasible
open-source ROM monitor, ROM monitor, RedBoot ROM monitor, open-source ROM, ROM, flash-resident software program, embedded developers today, RedBoot ROM, write access, processor registers, memory dumps, developers today, access to processor, RedBoot, monitor
High-performance servo systems, servo systems based, period of plant, multirate sampling control, digital control systems, plant input, sampling period, plant output, High-performance servo, controller assures perfect, multirate sampling, servo systems, systems based, output is restricted, controller assures
CMOS current mirrors, MOSFET current mirrors, complementary MOSFET current, nonlinear performance, performance of CMOS, complementary MOSFET, current mirrors, mismatch The nonlinear, CMOS current, MOSFET current, Improved analysis, device mismatch, simple and complementary, mirrors are analyzed, multisinusoidal input current
rack position control, fuel rack position, combined intelligent techniques, AGC for autonomous, intelligent load frequency, autonomous power system, combined intelligent, position control, present work, developed to regulate, controlling the speed, fuel rack, rack position, load frequency controllers, intelligent load
Common Communication Format, Communication Format, Common Communication, conversion of Common, raise and address, address a number, number of issues, issues pertaining, Format, records, CCF, Common, Communication, catalogue records, experimental approach
conservation laws Modern, Modern numerical approximations, laws Modern numerical, conservation laws rely, approximations of conservation, conservation laws, numerical approximations, laws Modern, Modern numerical, laws rely, continuous recovery, numerical dissipation, numerical, artificial dissipation, approximations
competitive environment effectively, competitive intelligence, information on competitors, outlines the processes, companies fail, fail to monitor, environment effectively, competitors The author, author outlines, competitive intelligence process, Barbie doll failed, utilizing competitive intelligence, competitive, intelligence, processes involved
continuous pole placement, delayed state feedback, pole placement method, state feedback, linear time-delay systems, pole placement, called the continuous, classical pole placement, pole placement algorithm, delayed state, continuous pole, numerical study Stabilization, differential equations, state, Michiels
lightweight QoS monitoring, passively monitored data, QoS monitoring technique, QoS monitoring system, monitoring technique combining, scalable and lightweight, technique combining passive, QoS monitoring, monitoring technique, monitoring system, CoMPACT monitor, monitoring, monitored data, based passive, make a scalable
National Design Repository, feature recognition algorithms, general-purpose feature detection, feature recognition, general-purpose feature, feature detection, feature, Theory and implementation, algorithms, Design Repository, National Design, recognition algorithms, feature detection techniques, feature detection algorithms, Evaluation
positron emission tomography, emission tomography attenuation, tomography attenuation correction, positron emission, emission tomography, emission data, attenuation correction, emission, tomography attenuation, Simultaneous iterative reconstruction, attenuation correction factors, attenuation, adequate attenuation correction, emission data improves, image reconstruction
cost Slow adoption, Wireless-retail financial services, cost Slow, Wireless-retail financial, retail investors, wireless applications, Slow adoption, costly services, justify the cost, bankrupt vendors, vendors has prompted, prompted banks, banks and brokerage, brokerage firms, firms to turn
Decision scientists tend, people make decisions, Mustering motivation, studying how people, decision process characteristics, realization Decision scientists, motivation to enact, scientists tend, tend to focus, people make, decision process, decision, decision antecedents, enact decisions, Decision scientists
layers poses significant, poses significant challenges, modelling processes Building, fused deposition modelling, processes Building, material science, Building up materials, heat transfer, applied mechanics, dimensional accuracy capability, deposition modelling processes, layers poses, poses significant, significant challenges, transfer and applied
extended cardiovascular model, cardiovascular system, established based, consequences of physiological, cardiovascular functional status, cardiovascular, extended cardiovascular, cardiovascular parameter variations, short-term regulation, hypertensive situation, homeostatic functions, physiological or pathological, study, previous work, study hemodynamic
venture capital firms, round of cash, pound of flesh, venture capital, capital firms, upheaval across telecom, telecom, prove-their long-term viability, investing in start-ups, cash, flesh, venture, dotcom frenzy, long-term viability, start-ups
free-form bin packing, bin packing problem, bin packing, free-form bin, algorithm, basic placement algorithm, free-form, placement algorithm, packing problem, paper describes, describes a heuristic, problem, bins, free-form items, scanline-based algorithm
rise High, online content subscriptions, willingness to pay, High, free lunch, content subscriptions, online content, user willingness, content, pay, time to pay, free, online, lunch, subscriptions
coordinate measuring machines, measuring machines Coordinate, machines Coordinate measuring, modem manufacturing industry, machines Coordinate, coordinate measuring, dynamic errors, measuring machines, coordinate, Prediction and compensation, manufacturing industry, dynamic, widely utilized, modem manufacturing, errors
studying error propagation, finite automata, autonomous finite automaton, input memory finite, finite automaton component, finite automata introduced, memory finite automata, weakly invertible, Structure of weakly, finite, autonomous finite, finite automaton, error propagation, automata, finite automata obtained
stable, omega, Mustafin-Poizat conjecture, S-polygon, superstabilizer, superstable, theory, called an omega, Mustafin-Poizat, stabilizer, proof, conjecture, monoid, polygons, called
Photographic Experts Group, Joint Photographic Experts, International Standards Organization, Experts Group, Joint Photographic, Photographic Experts, Standards Organization, International Standards, latest image compression, image compression standard, JPEG, interactive imaging, standard, Group, Organization
