oil traffic, prince william sound, alaska, chief environmental officer, mile long, big oil spill, ocean saturday, cleanup effort, tanker exxon valdez, reef island, coast guard, dennis kelso, spawn area, crude oil, slick
cleanup crew, exxon, joseph hazelwood, oil, massive oil spill, tanker exxon valdez, criminal charge, coast, wednesday, new, wildlife - rich sound, small tanker, authority, navigable water, exxon salvage crew
steve cowper, trans - alaska oil pipeline, exxon valdez oil spill disaster, cleanup measure, thursday, oil tanker, large spill, company, order, safety, state law, hour, alyeska marine terminal, equipment, autopilot
marathon, abebe mekonnen, joan benoit samuelson, ingrid kristiansen, race, world, mile, juma ikangaa, ethiopian runner, second, olympic, ethiopia, monday, hot day, sunday
los angeles county district attorney, office, practice, addiction, elizabeth taylor, report, painkiller, rehabilitation clinic, prescribing, friday, alternative mean, therapy, allegation, treatment, investigation
disease, cattle, sick animal, agriculture, human, bse, sheep by - product, health, food, government, britain, export market, report, british province, brain
elizabeth taylor, lung biopsy, prepare statement, pneumonia, academy award - win actress, hospital, ventilator, physician, doctor, problem, condition, monday, cause, assistance, surgery
la liz, taylor, addiction, press recording, giddy tabloid, doctor, liz taylor, aid, drug, hospital, late bout, report, conference wednesday, rumor, national treasure
rupture exxon valdez, oil, state senate, bill, fresh oil sheen, alaska, package, 11 - million - gallon spill, devastate oil spill, complete cleanup, impossible, tanker, fouled prince william sound, saturday, little trouble
race, rex wilson, wen yanmin, runner, lead pack, mile, course record, viktor gural, long beach marathon sunday, out - kick laura konatz, second, woman, man, new zealand, pacific rim marathon
miss taylor, hospitalization, doctor, fifth week, bacterial pneumonia, new infection, viral pneumonia, yeast infection, death, complication, recovery, health center, today, resolve, pneumonia - stricken actress elizabeth taylor
brush, fire official, fire season, residential area, los angeles, gordon rowley, vulnerable fire zone, tree, los angeles county fire department, drought, mountain terrain, southern california, baldwin hill, map, rare fungus
fire, park management, yellowstone, national park, management policy, nature, once - thrive forest, blaze, stately lodgepole pine, available firefighting crew, bush administration official, tourist haven, new life, year, forest ecology specialist
british beef industry, disease, british government, ban, mad cow, britain, cattle, domestic beef sale, west germany, france, health fear, trade friction, siamese cat, bse, british official
world record, johnson, athlete, illegal performance - enhance drug, carl lewis, world championship, vice president, time, canadian inquiry, frank greenberg, steroid, week, al joyner, involvement, cassell
fire crew, lake elsinore, blaze, firefighter, county, brush fire, riverside, antelope valley, fire crew late friday, authority, saturday morning, late friday afternoon, national forest, wind, char landscape
tetsuya theodore fujita, tornado, denver, violent storm, small house, year, large fan, twister, downburst, miniature version, major airport, thunderstorm, university, aircraft, new radar system
federal aid, illegal alien, senate, poor people, california, state, medical emergency service, action, house, census, population, law, assemblyman peter chacon, democrat, reapportionment
office, police brutality, anthony flores, separate incident, report, district attorney, department, edward brodie, arrest, officer robert camarillo, oxnard officer, cornett, suspect, gonzalez, charge
violent crash, plane, cripple united airlines dc-10, runway, tail engine, passenger, wide - bodied dc-10, system, complete hydraulic failure, spokesman, wednesday, wing, half - mile short, sioux city, crew member
nra, plastic gun, blood - red letter, deconcini, bill, gun ban, life member, assault weapon, hammer, james jay baker, suburban phoenix, legislation, president bush, nation, office
hurricane chantal, low hurricane classification, louisiana, vessel, wind, coast monday, texas, season, storm, late afternoon, strong wind, high wave, tropical storm warning, national hurricane center, crew member
clayton searle, fellow narcotic officer, 46 - year - old morgan, drug courier, los angeles international airport, police, drug enforcement administration, major league baseball, passenger, muscular black man, likely companion, transport narcotic, federal court, commercial airline flight, city
texas congressman mickey leland, plane, american search, crash site, helicopter, search crew, ababa, aide, wreckage, ethiopian, sunday, day, discovery, ackerman, recovery team
firefighter, lung, fire, smoke, health, wildfire crew, carbon monoxide, nation, county fire official, study, state, protection, johns hopkins university, air passage, wildland firefighter
freshman congressman larkin smith, light plane crash, r - miss, mississippi, monday, sunday night, house, authority, county sheriff, desoto national forest, state, federal, second member, week, death
alphonce swai, city homefe half marathon, african runner, fine, race, kim jones, comeback bid, america, mexico city, sunday, field, time, olympic, tanzania, goodwill game 10 - kilometer run
bank, country, cash - strap economy, world bank, debt, new loan, figure, annual report, bank official, sunday, cash drain, major drain, buoyant economic growth, total, east asia
french government, lebanon, pro - syrian force, criminal attack, france, wednesday, intelligence specialist, terrorist attack, high - altitude explosion, terrorist bomb, official, washington, christian, french dc-10 jetliner, uta
johnson, indoor meet, ben johnson, sport, athlete, assistant meet director, performance - enhance drug, al franken, people, world class athlete, public interest, hamilton spectator indoor, year, promoter, season doubt
state legislator, term limitation, member, group, interest, proposal, hard, congress, people, government, influence, money, powerful, constitutional change, contrary
census total, illegal alien, state, seat, illegal immigrant, senate, population count, bush administration, census bureau, california, federal aid, illegal resident, ban, appropriation bill, enormous additional cost
illegal alien, census, california, senate, state, large immigrant population, illegal immigrant, county advocate, legal residency, seat, poor latino resident, city, addition, census bureau, pulido
second amendment state, gun control law, free state, right, merit, federal government, militia, security, necessary, arm, people, argument, individual, supreme court, national
state legislature, limit, american politic, state legislator, year, term limitation, lawmaker, number, state lawmaker, oklahoma, vengeance, legislative seat, oklahoma voter, democratic president, temptation
latino, diabetes, jaime davidson, heart disease, effort, actual people, proper diet, insulin, los, health official, california, dallas physician, habit, american indians, angeles metropolitan area
tuberculosis, case, aid epidemic, world health organization, people, disease, immune system, year, new datum, deadly infectious disease, united nations, active, number, united states, individual
orange county, illegal alien, resident, census, supervisor, count, agency official, federal revenue, city official, thursday, actual population, county social service agency, director, board, resolution
state legislator, consecutive year, state senator, term, people, term limit, legislature, proposition, politic, office, assembly member, official, california, pernicious impact, city
race, paul davy - hale, lisa weidenbach, man, chicago marathon, woman, second, marathon sunday, mile, time, heat, chicago history, runner, windy weather, pack
jet trainer, aircraft carrier, navy, lexington, flight deck, crash, spokesman, sunday, train, naval education, mark kasper, pensacola, major damage, gulf, dennis hessler
guy zanti, marathon today, father, wife, washington, battleship wisconsin, naval officer, effort, land, water, middle east, interested, mile, train, ship
large earthquake, chile, engineer, scientist, building, san francisco earthquake, earth, build engineer elias arze, chilean seismology, host, president, massive plate, distinction, magnitude, seismic country
grete waitz, winner, douglas wakiihuri, race, wanda panfil, juma ikangaa, woman, new york city marathon, time, second, respective division, sunday, kim jones, kenyan, poland
rail tunnel, english channel, french worker, british, graham fagg, philippe cozette, high - speed train, big engineering project, bore, europe, france, saturday, england, 6 - foot - tall service tunnel, hand
ferocious hurricane, catastrophic storm, atmospheric pressure, atlantic, intense hurricane, gray, periodic west african drought, tropical disturbance, possible return, powerful punch, low latitude, gulf, center drop, caribbean, hurricane pattern
martinez, 16th mile, african mark plaatjes, international marathon, race, mission bay, marie rollin, beatriz martinez, san diego, mexico city, doug kurtis, maurilio castillo, second, woman, hometown
johnson, brief race, slow start, daron council, record crowd, positive test, department, sheriff, north america, board track, country, europe, olympic, alachua county, journalist
fire, mount palomar area, fire official, national guard equipment, threat, oregon, bad fire season, california, firefighting, dead vegetation, severe fire, warner mcgrew, december freeze, military reserve, home
charlie francis, ben johnson, world record, steroid, federal inquiry, use, toronto, fast man, speed trap, canadian national sprint coach, olympic, system, sport, famous pupil, performance - enhance drug
boston, time, race, juma ikangaa, checkpoint record, simon robert naali, city, winner, early speedster, story history, second, olympic champion gelindo bordin, 60th boston marathon, olympic silver medalist, douglas wakiihuri
police report, suspect, officer, police brutality, bad public policy, citizen, complaint, investigation, government, organizational attitude, accountable, code, police discipline system, community, macnamara
hispanic, diabetes, exercise class, nutrition, state health department statistic, torre, food, effort, danger, incidence, diabetic society, education director, taste, term, rich
california department, forestry, fire protection, year, lisa boyd, woode area, morgan hill ranger unit, rain, tree, drought, brush, santa clara county, fire season, south bay, summer weather
gandhi, india, congress party spokesman, time bomb, new delhi, chief election commissioner, assassination scene, caste conflict, tamil separatist, independent state, blast, religious, nearby sri lanka, body, right - wing party
travel agent, eclipse, daniel dei rossi, hawaii, mexico, san jose, moon, baja, available, sun, rental car, shadow, inter - island flight, sky, airline seat
subsequent hurricane, miami, legendary storm, mph wind, hurricane specialist, wind speed, national hurricane center, year, scientist, city, weather computer, low - lie metropolis, computer model, water, disturbance
slovenia, secessionist republic, croatia, army, slovenian fear, government, statement, independence declaration, stipe mesic, election, president, state, federal official, president milan kucan, slovenian capital
court, thomas, abortion, federal appeal court judge, confirmation process, democratic senator, view, unknown, opposition, racial preference, year, affirmative action, marshall, position, abortion right group
thomas, black, washington, security, grandparent, white world, mutual support, education, self - sufficiency, principal mean, discrimination complaint, equal employment opportunity commission, president reagan, second birthday, black political activist
thomas, senate judiciary committee, confirmation, reagan - bush supreme court nominee, civil right group, justice, view, metzenbaum, conservative majority, specific case, senate majority leader george mitchell, free speech issue, nomination, abortion, law
thomas, black child, young clarence, united states supreme court, hard - eyed grandfather, catholic school uniform, scholarship, segregate black georgia, yale university law school, clarence thomas, nominee, black savannah, activist black man, nun, college education
eclipse fan, big island, baja california, mexico, sun, hawaii, new york, japan, thousand, crowd cruise ship, protection, tourist, pacific coast, mystical phenomenon, box
police, officer, derogatory message, commission, source, gate, department, report, brutality, panel report, black people, police car computer terminal, testimony, chief, early incident
solar eclipse, sun, moon, baja california, astronomical observatory, earth line, shadow, path, mile wide, hawaii, delicate astronomical instrument, shaggy corona, mexico city, total eclipse, year
eclipse viewer, solar eclipse, telescope store tuesday, way people, thursday, bay area people tuesday, minolta planetarium, orion telescope, scott wiener, information, call, branham lane park, safe, san jose astronomical association, glass
eclipse, low cloud cover, hawaii, park, sun, mexico, mauna loa, funny mylar glass, discovery museum, mountain view, big pinhole camera, south san jose, cardboard, moon obscure, dark
eclipse, special glass, sun, shadow, prime time, moon, hawaii, overcast sky, san jose, morning fog, astronomer, bay area, dark, eye damage, nature
police, los angeles police department, operation rescue, police brutality, protestant circle, demonstrator intent, abortion facility, participant, activist, compliance, motorist rodney king, national movement, civil right group, persistent complaint, single case
diabetes, mcnamara, hispanic, strong american indian ancestry, high - fat diet, percent, neighborhood diabetes program, people, exercise, vulnerable, diabete society, medication, participant, general population, way
thomas, black, friend, conservative supreme court, yale law school, opportunism, civil right act, minority figure, senate judiciary committee, legal education, story, successive job, segregate savannah, lunch room sit - in, dramatic political
clarence, clarence thomas, virginia thomas, comparable - worth legislation, cult awareness network, religious leader, lifespre, religious right group, skin color, organization, root, black, issue, court, white
build, stale air, good ventilation system, poor ventilation system, sick building syndrome, worker, flu, bad ventilation, tuberculosis, public health officer, study, low level, disease, end, outdoor air
department policy, unusual order, employee, police, people, large sheriff, level, community, social reason, block, city, fine law enforcement agency, criticism, joseph mcnamara, civil right suit
thomas, hometown crowd, home, handwritten sign, anita hill, judge clarence thomas, abraham famble, god bad, birthplace, main thoroughfare, pinpoint georgia, heart, attempt, deacon, sweet field
fire, local firefighter, area, hill, home, deputy chief, mountain community, firestorm, stately tree, two - lane road, water, department, canyon, resident, grass - cover eastern foothill
tour, close city, large marathon, marathon vacation, five - mile run, london, runner, sport, thorn gilligan, addition, air fare, sightseeing bus, carbo - load pasta party, president, april
president reagan, welfare, welfare reform, anti - poverty program, poverty, year, state, governor, poor family, welfare dependency, democrats, public, convincing message, plan, congress
governor, welfare, able - bodied welfare recipient, white house, washington, benefit, year, disagreement, administration, plan, welfare reform, income - maintenance system, job, train, new york
de beer, sell diamond, dealer, uncut - diamond market, world, rough - diamond price, sale, organization, cartel, expensive diamond engagement ring, petroleum export country, diamond producer, average, year, advertise
murderous guerrilla, poor farmer, upper huallaga valley, shine path, coca, army, anti - drug police, community, small town, drug trafficking, anti - drug official, government, big coca - grow zone, aucayacu, country
engine, crash, plane, incident, northwest spokesman, airline industry, faa, accident, flight, nation, detroit, board, pin, possible cause, passenger
diamond, dealer, de beer, market, high price, japanese import, diamond sale, average, world diamond market, rise, diamond price, year, carat, rough diamond, diamond dealer
family welfare reform act, benefit, welfare system, house, afdc, year, dependent child, bill, welfare dependency, welfare program, question, work program, level, welfare recipient, investment
bank, boston, large loan, thin reserve, regional bank, country, money - center bank, group, reserve action, analyst, competitive advantage, common equity asset, non - accrual basis, nation, regional institution
drought, farmer, year, president reagan, food price, soybean future, government, reagan administration, sale, farm management concern, crop land, strong harvest, farm export subsidy, product, farm equipment maker
bank, debt morass, world bank, debtor country, baker plan, new york, cautious financier, debt problem, idea, leadership role, large role, new loan, new lending, institution, increase
fire, recent year, park, yellowstone, nature, forest, tree, research biologist, ash - cover forest floor, tiny seed, powder ash, yellowstone national park, scorch hillside, ground, recent week
illegal immigrant, census bureau, house, legal status, recent house debate, congressional seat, amendment, federation, california, person, constitution, people, americans, congress, illegal alien
incumbent, house district, two - term limit, late mailing, congress, voter, term, year, spirited competition, senate, problem, south dakotan, new idea, unfair campaign finance law, poll
tunnel, cross - channel link, consortium, high - speed rail link, london, northern england, british industry, eurotunnel plc, hour, transport expert, britain, cost, road, project, fast rail service
tunnel, french worker, british terminal, big, trans manche link, toy, europe, dewy grass, man, foot wide, ledge, new concept, england, white cliff, train
path, shine path, war, military dictatorship, insurgency, liberal approach, peru, emergency law, action, year, armed force, progress, systematic violation, young professional, analyst
hurricane, storm severe, sahel, hurricane activity, weather researcher, atlantic hurricane, high rate, year - to - year rainfall level, tropical storm season, wet weather, caribbean, warm ocean air, moisture, july, normal
quake insurance, earthquake, earthquake survival class, fault line, people, prediction, new madrid fault, december, day, year, business, thousand, school, california, survival kit
brain disease, sick sheep, cjd, mad cow, spongiform, animal, year, scientist, scrapie, single disorder, question, medical sleuth, cat, infectious, kuru
criminal, violent crime, gun, handgun, police chief, issue, suicide, arm, period, education system, firearm, protection, important reason, law - abide citizen, state militia
tuberculosis test, treatment, health department, homeless, program, infection, tb germ, human resource administration, tuberculosis prevention, staff member, control, susceptible individual, board, city school, new yorker
average wind speed, crash, flight schedule, travel, local news reporter, unite dc-10, jet, area, passenger, airline, hour, plane, colorado spring, yesterday, wind shear
year, three - time boston champion, runner, boston marathon, race, time, mile, hour, course, run, man, little hill, old competitor, age, minute
police chief, police corps program, chief gate, community policing, officer, brutality, year, public statement, idealistic young people, gang member, rodney king, special unit, los angeles, neighborhood, odd
enquirer, article, miss taylor, condition, good faith reliance, report, information, error, activity, june, iain calder, hospital, inaccurate, santa monica, actress
loan shark, microloan, accion international spokeswoman gabriela romanow, business, favorable credit rating, year, group, family - own multi credit bank, micro - enterprise lending, local commercial loan rate, development, green revolution, clutch, new york agency trickle, poor entrepreneur

judge, law, americans, people, equal right, constitutional law, actual victim, black, man, school, clarence thomas, difference, society, civil right people, thomas aquina
clarence thomas, successful people, affirmative action, conservative black, nun, leave, kind liberal, race, high appointment, thing, heart, live, love, judge thomas, crack
slovenia, slovene, yugoslavia, people, country, picturesque alpine republic, nation, exchange, western europe, considerable trade, independence, rest, bewilder balkan, two - week nightmare, declaration
commission, officer, report, police, community leader, chief, minority citizen, excessive force, department, los angeles police academy, chief gate, city, lapd officer, recommendation, complaint
term limit, year, florida, member, constitutional convention, early civil - right bill, henry clay, republicans, daniel webster, medicare, good behavior, congress, inducement, long - stand, social security
electoral system, politic, term limit, election, lawmaker, congress, house, committee service, incumbent, powerful interest, year, voter, concern, public, politician
state statute, first - time candidate, state term limit unconstitutional, court, state supreme court, year, congress, decision, congressional primary, associational right, incumbent, new mexico law, constitution, argument friday, voter choice
term limit, politic, white incumbent, liberal democrat, legislative staff, congress, home state, new people, time fund - raising, office, party slate mailer, california democratic party, power, career incumbent, idea
black people, free territory, scott, slave, state court, racist pronouncement, chief justice taney, federal court, right, pre - civil war dictum, missouri, gun, white man, natural law, race relation
state militia, arm, right, united states, constitutional amendment, people, army, military service, version, gun, congressional committee, congress, person, second amendment, conscientious objector clause
term, system, representative, citizen congress, experience, senior, interest, fresh face, electorate, incumbent, term limit, washington, desire, state, government
congressional term limitation, congress, economist, opinion, office today, politician, solid reason, influence, common sense, real world, sun, live, law, rest, true citizen congress
well - regulate militia, right, second amendment, arm, unfortunate today, national guard, sufficient condition, control, people, history, george mason, necessary, religious reason, conscientious - objector provision, religious freedom
gun, right, constitution, national guard, second amendment, central issue, total regulation, point, congress, american citizen, person, letter writer, private use, stagger bill, selective service
